SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
RS,86231,DAVID CANABARRO,0,661,96,516,0,1112,0,0,0,0,0,0,139,0,0,2,0,0,0,0,0,22,3,0,0,0,0,0,0,519,3784,535,3265,179
RS,86240,ELDORADO DO SUL,0,1358,1243,4231,0,4596,138,0,0,0,0,0,3179,0,0,5,0,8,0,0,0,290,148,0,0,0,0,0,0,3149,21151,1528,18002,1278
RS,86258,DOIS IRMÃOS,0,2278,206,5243,0,3205,51,0,0,0,0,0,3100,0,0,0,0,3,0,0,0,130,39,0,0,0,0,0,0,1790,18973,1702,17183,1226
RS,86274,DOM FELICIANO,0,498,115,1620,0,2225,8,0,0,0,0,0,2336,0,0,1,0,0,0,0,0,22,3,0,0,0,0,0,0,1526,10353,1099,8827,900
RS,86282,ALTO FELIZ,0,205,87,257,0,892,4,0,0,0,0,0,152,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,131,2100,187,1969,179
RS,86290,DOM PEDRITO,0,4581,444,4962,0,5984,65,0,0,0,0,0,3608,0,0,8,0,2,0,0,0,687,19,0,0,0,0,0,0,5684,29594,1996,23910,1554
RS,86304,AMETISTA DO SUL,0,1432,500,681,0,1267,4,0,0,0,0,0,39,0,0,0,0,1,0,0,0,9,3,0,0,0,0,0,0,1023,5843,521,4820,363
RS,86312,DONA FRANCISCA,0,862,43,206,0,1032,2,0,0,0,0,0,151,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,301,2908,164,2607,136
RS,86320,ARAMBARÉ,0,94,270,309,0,1056,12,0,0,0,0,0,303,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,449,2905,195,2456,184
RS,86339,ENCANTADO,0,2321,154,1525,0,5031,12,0,0,0,0,0,985,0,0,1,0,1,0,0,0,83,24,0,0,0,0,0,0,2040,15247,1530,13207,1540
RS,86347,BARÃO DO TRIUNFO,0,619,57,310,0,1788,1,0,0,0,0,0,668,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,665,4636,245,3971,262
RS,86355,ENCRUZILHADA DO SUL,0,2362,1484,2731,0,3143,7,0,0,0,0,0,2973,0,0,1,0,1,0,0,0,192,17,0,0,0,0,0,0,3294,19371,1859,16077,1307
RS,86363,BARRA DO GUARITA,0,36,16,464,0,1004,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,346,2278,203,1932,182
RS,86371,ERECHIM,0,6771,956,15480,0,12834,112,0,0,0,0,0,7019,0,0,19,0,14,0,0,0,852,174,0,0,0,0,0,0,10043,67735,7572,57692,5889
RS,86380,BARRA DO RIO AZUL,0,145,109,521,0,445,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,207,1765,170,1558,128
RS,86398,HERVAL,0,368,498,1124,0,1549,12,0,0,0,0,0,220,0,0,1,0,0,0,0,0,30,6,0,0,0,0,0,0,843,5486,469,4643,366
RS,86401,BARRA FUNDA,0,358,454,410,0,233,1,0,0,0,0,0,28,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,210,2055,216,1845,127
