SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PB,19712,CACIMBA DE DENTRO,2801,5,103,1,665,3619,1890,10668,138,8778,1446
PB,19720,PARARI,260,1,90,0,145,438,213,1394,33,1181,214
PB,19739,CAICARA,2086,5,111,1,433,814,935,5177,84,4242,708
PB,19747,PEDRO REGIS,629,1,61,1,364,585,822,3118,166,2296,489
PB,19755,CAJAZEIRAS,15034,32,3441,10,1363,4289,9399,38249,1294,28850,3387
PB,19763,ALCANTIL,780,7,443,1,198,804,296,3147,102,2851,516
PB,19771,CALDAS BRANDAO,1325,3,146,0,436,622,493,3730,221,3237,484
PB,19780,BARRA DE SANTANA,805,3,478,2,342,1865,628,5266,262,4638,881
PB,19798,CAMALAU,886,5,576,0,187,738,465,3744,238,3279,649
PB,19801,CATURITE,731,8,297,0,197,873,270,2858,157,2588,325
PB,19810,CAMPINA GRANDE,89977,714,16466,100,31432,38795,39781,239849,8197,200068,14387
PB,19828,RIACHO DE SANTO ANTONIO,273,1,283,0,71,302,155,1282,34,1127,163
PB,19836,CARRAPATEIRA,597,4,22,0,100,276,432,1678,37,1246,210
PB,19844,APARECIDA,1623,3,429,0,226,889,762,4789,249,4027,608
PB,19852,CATINGUEIRA,873,3,634,0,194,828,644,3703,101,3059,426
PB,19860,SAO FRANCISCO,1102,1,188,0,62,744,316,2922,104,2606,405
PB,19879,CATOLE DO ROCHA,6556,15,1315,3,1246,4232,1964,17811,347,15847,2133
PB,19887,VIEIROPOLIS,1227,2,208,0,148,894,516,3780,114,3264,671
PB,19895,CONCEICAO,3045,11,851,1,334,3325,2130,12154,389,10024,2068
PB,19909,AREIA DE BARAUNAS,299,1,58,0,57,671,139,1441,38,1302,178
PB,19917,CONDADO,1259,3,734,2,214,1341,1063,5312,131,4249,565
PB,19925,ALGODAO DE JANDAIRA,615,6,41,1,91,389,257,1674,36,1417,238
PB,19933,CONDE,3628,11,453,4,1073,1445,2719,11333,833,8614,1167
PB,19941,BOA VISTA,1096,8,313,2,265,1287,525,4026,94,3501,436
PB,19950,CONGO,896,1,262,2,201,855,361,3106,134,2745,394
PB,19968,MARCACAO,528,3,88,0,404,828,999,3607,309,2608,448
PB,19976,COREMAS,3027,6,493,0,731,2168,1571,9726,298,8155,1432
PB,19984,MATUREIA,777,6,98,1,208,1296,987,4117,149,3130,595
PB,19992,CRUZ DO ESPIRITO SANTO,3180,13,361,13,1422,1571,1001,9431,660,8430,1210
PB,20001,SANTA CECILIA DE UMBUZEIRO,406,0,139,0,98,2117,1134,4602,126,3468,582
PB,20010,CUBATI,719,6,293,2,301,1793,492,4461,141,3969,714
PB,20036,CUITE,2786,16,741,1,821,4373,3575,14611,384,11036,1914
PB,20052,CUITEGI,1193,5,198,1,264,853,688,4046,185,3358,659
PB,20079,CURRAL VELHO,261,1,120,0,24,807,398,1911,14,1513,286
PB,20095,DESTERRO,726,5,442,2,198,1976,769,5017,171,4248,728
PB,20117,VISTA SERRANA,525,0,108,0,170,707,370,2160,27,1790,253
PB,20133,DIAMANTE,1223,6,353,1,190,1017,740,4544,110,3804,904
PB,20150,DONA INES,2361,5,176,1,368,1709,1060,6838,129,5778,1029
PB,20176,DUAS ESTRADAS,1138,1,38,0,148,647,479,2938,78,2459,409
PB,20192,EMAS,351,3,534,1,95,622,284,2261,46,1977,325
PB,20214,ESPERANCA,6577,40,762,6,1125,4879,5266,21746,794,16480,2297
PB,20230,FAGUNDES,1787,3,211,3,383,2612,1813,8442,180,6629,1450
PB,20257,FREI MARTINHO,563,2,204,1,101,716,133,2063,37,1930,306
PB,20273,GUARABIRA,12370,52,1388,12,3573,5925,4210,32079,1113,27869,3436
PB,20290,GURINHEM,3018,6,236,1,696,2298,2401,10029,355,7628,1018
PB,20311,GURJAO,474,4,244,1,113,845,238,2315,46,2077,350
PB,20338,IBIARA,815,4,513,0,255,1215,697,4352,211,3655,642
PB,20354,IMACULADA,1229,11,161,2,424,2236,994,6423,227,5429,1139
PB,20370,INGA,3674,7,314,1,974,2230,3635,13268,423,9633,2010
PB,20397,ITABAIANA,5261,37,776,1,1811,3898,5624,20543,896,14919,2239
PB,20419,ITAPORANGA,5198,10,1029,2,504,2500,3965,15213,326,11248,1679
PB,20435,ITAPOROROCA,1340,5,240,0,802,3277,1128,8642,423,7514,1427
PB,20451,ITATUBA,1643,3,138,2,516,1873,1836,7482,328,5646,1143
PB,20478,JACARAU,2342,7,349,7,1459,1824,1594,8972,294,7378,1096
PB,20494,JERICO,1631,5,222,0,331,1241,712,4982,140,4270,700
PB,20516,JOAO PESSOA,177832,896,26894,190,50120,40079,51902,376822,10966,324920,17943
PB,20532,JUAREZ TAVORA,1814,6,175,1,579,647,652,4953,358,4301,721
PB,20559,JUAZEIRINHO,2572,30,867,7,964,2118,1184,9493,336,8309,1415
PB,20575,JUNCO DO SERIDO,821,8,273,1,199,1530,669,4202,136,3533,565
PB,20591,JURIPIRANGA,3100,10,165,2,383,1039,2699,8706,247,6007,1061
PB,20613,JURU,1012,3,82,0,85,2479,2287,7132,190,4845,994
PB,20630,LAGOA,1153,9,249,0,329,538,495,3507,205,3012,529
PB,20656,LAGOA DE DENTRO,1511,4,109,2,268,1223,978,4832,178,3854,559
PB,20672,LAGOA SECA,4416,21,437,6,939,3751,1684,14013,958,12329,1801
PB,20699,LASTRO,1270,1,141,0,94,350,279,2648,103,2369,410
PB,20710,LIVRAMENTO,522,1,203,2,235,1872,553,4237,137,3684,712
PB,20737,LUCENA,1689,3,204,0,1143,813,1744,6749,441,5005,712
PB,20753,MAE D AGUA,677,5,68,1,191,1036,450,2879,84,2429,367
PB,20770,MALTA,1148,1,343,0,158,980,851,4330,166,3479,683
PB,20796,MAMANGUAPE,5564,23,1178,1,3312,6116,6333,26533,1077,20200,2929
PB,20818,MANAIRA,1602,17,282,0,355,1605,2596,7719,157,5123,1105
PB,20834,MARI,3222,18,536,1,2002,1849,1920,11662,506,9742,1608
PB,20850,MASSARANDUBA,2026,6,265,2,680,2004,1600,8362,584,6762,1195
PB,20877,MATARACA,1220,3,249,2,514,781,637,4156,178,3519,572
PB,20893,MOGEIRO,2348,4,231,2,545,2310,2627,9301,261,6674,973
PB,20915,MONTADAS,586,10,455,0,201,581,492,2878,109,2386,444
PB,20931,MONTE HOREBE,851,7,256,0,151,573,679,3005,94,2326,394
PB,20958,MONTEIRO,4741,16,1024,1,916,5846,2473,18475,693,16002,2765
PB,20974,MULUNGU,2288,7,268,1,433,1617,888,6646,210,5758,934
PB,20990,NATUBA,650,6,159,1,340,2008,719,5122,305,4403,934
