SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
GO,95354,PILAR DE GOIÁS,992,1,1,1,0,0,108,782,14,352,2415,47,2063,117
GO,95397,PIRACANJUBA,7265,11,2,9,4,2,1264,5585,88,3801,18959,333,15158,595
GO,95419,PIRANHAS,4075,3,1,3,6,0,711,2312,27,1885,9518,104,7633,391
GO,95435,PIRENÓPOLIS,4512,4,1,9,7,1,1513,7594,113,2302,17074,410,14772,608
GO,95451,PIRES DO RIO,5915,13,5,7,6,0,2595,7290,90,4260,21773,575,17513,1017
GO,95494,PONTALINA,5312,4,3,2,3,0,805,4517,72,2631,14200,279,11569,572
GO,95559,PORANGATU,13030,5,7,12,7,1,2393,5972,71,7137,30188,352,23051,1201
GO,95575,PORTELÂNDIA,1216,0,3,0,1,0,261,866,9,601,3208,70,2607,181
GO,95613,POSSE,6794,8,11,6,15,0,1007,7978,67,5031,22117,329,17086,871
GO,95630,QUIRINÓPOLIS,10663,9,7,11,5,2,1915,10685,97,5804,31303,675,25499,1430
GO,95656,RIALMA,2884,0,2,4,2,0,716,2775,45,1707,8630,153,6923,342
GO,95672,RIANÁPOLIS,1202,1,0,1,2,0,182,1342,11,682,3696,72,3014,201
GO,95710,RIO VERDE,30208,31,24,41,33,5,8452,40415,492,17668,103491,2449,85823,3673
GO,95737,RUBIATABA,4213,7,4,11,9,1,1288,5511,62,2861,14862,276,12001,619
GO,95753,SANCLERLÂNDIA,2771,3,0,3,2,1,581,1990,35,1064,6814,103,5750,261
GO,95770,SANTA BÁRBARA DE GOIÁS,1529,3,1,4,0,0,354,1760,30,783,4693,67,3910,162
GO,95796,SANTA CRUZ DE GOIÁS,802,1,1,1,1,0,319,1213,12,626,3126,40,2500,110
GO,95818,SANTA HELENA DE GOIÁS,11288,10,16,10,12,3,1886,8195,149,3373,27030,766,23657,1322
GO,95834,SANTA RITA DO ARAGUAIA,1013,1,1,0,2,1,192,1505,32,890,3845,88,2955,120
GO,95850,SANTA ROSA DE GOIÁS,1107,1,1,3,0,1,236,919,20,359,2925,135,2566,143
GO,95877,SANTA TEREZA DE GOIÁS,1155,1,4,2,0,0,182,1018,8,841,3448,80,2607,157
GO,95893,SANTA TEREZINHA DE GOIÁS,3557,0,1,1,0,1,312,2080,14,1368,7733,76,6365,323
GO,95915,SÃO DOMINGOS,2692,2,1,3,6,1,317,1534,11,2304,7512,94,5208,547
GO,95931,SÃO FRANCISCO DE GOIÁS,1435,7,1,4,8,0,227,1676,26,907,4697,118,3790,288
GO,95958,PLANALTINA,16846,9,21,38,13,5,8183,10031,273,8932,47719,1441,38787,1927
GO,95974,SÃO JOÃO D'ALIANÇA,1970,2,1,3,7,0,585,1606,24,1741,6368,117,4627,312
GO,95990,SÃO LUÍS DE MONTES BELOS,6297,12,9,10,11,1,2536,7735,86,4480,22684,555,18204,952
GO,96016,SÃO MIGUEL DO ARAGUAIA,5171,4,3,3,3,0,1520,5747,24,4776,18290,233,13514,806
GO,96059,SÃO SIMÃO,5731,5,1,3,0,0,846,2321,32,1975,11633,179,9658,540
GO,96075,SERRANÓPOLIS,1927,0,1,1,1,0,373,1360,16,800,4780,74,3980,227
GO,96091,SILVÂNIA,4721,5,4,6,5,0,1347,4839,98,2281,14031,259,11750,466
GO,96113,SÍTIO D'ABADIA,803,0,0,1,0,0,62,789,6,591,2409,14,1818,143
GO,96172,TAQUARAL DE GOIÁS,1204,0,1,1,1,0,224,1140,20,542,3334,54,2792,147
GO,96237,TRÊS RANCHOS,1236,2,0,0,0,0,258,1003,18,557,3230,41,2673,115
GO,96253,TRINDADE,25061,26,28,46,24,5,8117,20228,422,11581,69828,1422,58247,2868
GO,96318,TURVÂNIA,1500,2,0,2,0,0,426,1575,29,593,4366,66,3773,173
GO,96334,URUAÇU,10618,4,3,9,5,2,1516,5928,58,5560,24928,377,19368,848
GO,96350,URUANA,3521,7,4,2,84,0,890,3630,40,2462,11350,221,8888,489
GO,96377,URUTAÍ,970,2,1,2,0,1,232,823,13,504,2731,80,2227,103
GO,96393,VARJÃO,1061,1,0,2,5,0,226,1481,18,591,3618,70,3027,163
GO,96415,VIANÓPOLIS,2045,4,2,6,2,4,825,3958,51,1561,9083,194,7522,431
GO,96458,ACREÚNA,4880,3,6,4,4,0,1009,5297,52,3256,15498,287,12242,700
GO,96474,MINAÇU,11355,10,7,16,5,5,1823,4205,108,7777,26735,337,18958,1087
GO,96512,MUNDO NOVO,1724,1,1,2,3,1,309,1280,3,1322,5005,58,3683,301
GO,96539,NOVA CRIXÁS,3348,3,1,0,2,1,345,1979,14,2140,8304,96,6164,375
GO,96555,NOVA GLÓRIA,2715,0,1,1,3,0,858,1516,15,1744,7300,154,5556,293
GO,96571,VICENTINÓPOLIS,2023,1,1,2,8,0,196,2097,17,840,5493,80,4653,228
GO,96610,AMERICANO DO BRASIL,1743,1,2,1,5,0,354,1558,14,522,4443,67,3921,176
GO,96695,ARAGUAPAZ,1997,2,2,64,5,0,231,2226,14,1248,6053,66,4805,198
GO,96717,ARENÓPOLIS,1471,1,0,1,0,0,162,823,5,588,3168,32,2580,85
GO,96733,CACHOEIRA DOURADA,2931,3,0,1,3,0,353,2203,17,1670,7593,132,5923,280
GO,96750,DOVERLÂNDIA,2843,3,3,4,3,0,236,1436,11,803,5665,51,4862,272
GO,96776,SANTO ANTÔNIO DO DESCOBERTO,11459,12,6,47,14,1,6406,7684,211,7094,35227,942,28133,1351
GO,96814,INDIARA,4349,5,3,4,18,0,739,2277,70,2273,10397,217,8124,442
GO,96873,CAMPINAÇU,1662,0,1,1,0,0,148,600,14,535,3172,59,2637,152
GO,96890,SANTA ISABEL,1148,1,1,1,0,0,156,947,6,473,2948,47,2475,168
GO,96911,ADELÂNDIA,981,0,0,1,1,0,158,788,8,335,2421,19,2086,130
GO,96938,ÁGUA FRIA DE GOIÁS,1093,0,2,2,0,0,345,1371,9,1130,4186,71,3056,163
MA,7005,ÁGUA DOCE DO MARANHÃO,3856,3,1,0,3,0,306,1665,3,3100,9769,180,6669,652
MA,7013,AFONSO CUNHA,3223,2,1,0,1,0,148,157,5,904,4899,49,3995,409
MA,7021,ALTO ALEGRE DO MARANHÃO,8167,8,4,3,1,0,373,793,24,3687,14341,149,10654,1132
MA,7030,ALCÂNTARA,9140,13,3,6,4,0,981,648,26,4128,16264,375,12136,940
MA,7048,ALTO ALEGRE DO PINDARÉ,10437,9,4,22,18,0,665,1001,29,5412,19689,289,14277,1803
MA,7056,ALDEIAS ALTAS,8049,6,10,1,4,1,747,738,16,4226,15712,205,11486,1709
MA,7064,APICUM-AÇU,4706,3,2,1,4,0,344,1249,21,2136,8964,99,6828,399
MA,7072,ALTAMIRA DO MARANHÃO,2258,4,0,4,0,1,349,515,8,1035,4747,100,3712,473
MA,7080,AMAPÁ DO MARANHÃO,2135,1,1,0,2,0,190,595,6,1182,4622,44,3440,466
MA,7099,ALTO PARNAÍBA,2877,4,4,1,4,0,314,1280,8,2120,7415,140,5295,663
MA,7102,ARAGUANÃ,3802,2,1,1,0,0,240,289,4,1900,6737,52,4837,446
MA,7110,AMARANTE DO MARANHÃO,9890,13,19,10,10,1,1359,3674,53,5315,22750,374,17435,2032
MA,7129,BACABEIRA,6639,4,1,2,8,0,718,493,27,1202,9964,248,8762,622
MA,7137,ANAJATUBA,10556,6,2,2,2,0,1122,676,23,4601,18420,270,13819,1160
MA,7145,BACURITUBA,2519,2,1,0,1,0,251,328,6,1400,4802,56,3402,238
MA,7153,ANAPURUS,6356,2,3,3,11,0,271,728,20,1026,9458,258,8432,780
MA,7161,BELÁGUA,3041,5,1,0,1,0,83,167,2,570,4388,33,3818,485
MA,7170,ARAIOSES,12696,16,8,8,6,0,1000,3715,40,8482,29539,953,21057,2615
MA,7188,BELA VISTA DO MARANHÃO,4075,0,1,4,4,1,478,563,11,1922,7672,54,5750,559
MA,7196,ARARI,10535,7,3,3,1,0,1890,1621,48,5115,20761,323,15646,1215
MA,7200,BERNARDO DO MEARIM,2378,3,2,2,0,0,362,328,6,1123,4635,92,3512,339
MA,7218,AXIXÁ,5221,3,1,2,0,0,753,506,13,1875,8908,142,7033,392
MA,7226,CACHOEIRA GRANDE,3424,3,2,1,2,0,311,153,2,1804,6282,69,4478,511
MA,7234,BACABAL,29937,27,27,25,12,3,6051,6899,132,15610,63418,820,47808,3875
MA,7242,DAVINÓPOLIS,3851,1,1,3,2,2,1170,1326,29,2204,9063,87,6859,387
MA,7250,BACURI,6491,6,6,2,4,0,534,874,14,3268,12047,116,8779,732
MA,7269,BOM JESUS DAS SELVAS,6863,4,6,5,1,0,578,2159,9,3651,14382,130,10731,976
MA,7277,BALSAS,21602,18,11,19,13,2,3952,11020,110,10288,50268,764,39980,2469
MA,7285,BOM LUGAR,5274,3,2,0,3,0,304,644,7,2567,9535,66,6968,665
MA,7293,BARÃO DE GRAJAÚ,6468,12,7,5,6,0,586,947,29,3052,12336,219,9284,1005
MA,7307,BREJO DE AREIA,3196,2,4,1,0,0,174,591,9,1664,6403,101,4739,661
MA,7315,BARRA DO CORDA,25080,15,70,15,8,0,3207,6611,90,14835,54586,982,39751,3673
MA,7323,BOA VISTA DO GURUPI,2155,0,1,3,0,0,278,705,0,936,4369,31,3433,260
MA,7331,BARREIRINHAS,22349,13,9,4,7,3,1301,1788,40,8024,35419,246,27395,1635
MA,7340,BURITICUPU,20489,13,11,13,8,1,2028,4220,76,9589,39651,345,30062,2858
MA,7358,BENEDITO LEITE,1635,1,2,0,1,0,211,641,0,1377,4320,46,2943,406
MA,7366,BURITIRANA,4209,4,5,2,2,0,863,1275,20,2400,9824,190,7424,854
MA,7374,BEQUIMÃO,7869,7,7,5,1,0,704,2169,30,2651,14578,282,11927,853
MA,7382,CAMPESTRE DO MARANHÃO,4833,4,3,7,4,0,492,839,14,2195,9018,134,6823,493
MA,7390,BREJO,11462,12,4,6,2,1,1106,2584,27,5166,22346,397,17180,1579
MA,7404,CAPINZAL DO NORTE,3769,4,1,0,0,1,531,664,10,1567,7326,128,5759,651
MA,7412,BURITI,9683,19,4,2,11,1,582,1167,14,5119,18794,393,13675,1799
MA,7420,CENTRAL DO MARANHÃO,3526,4,1,5,0,0,136,149,3,1905,6175,62,4270,384
MA,7439,BURITI BRAVO,7381,6,6,8,2,1,687,1249,20,4383,15434,133,11051,1558
MA,7447,CENTRO DO GUILHERME,3303,0,0,0,1,0,127,296,1,1347,5636,50,4289,511
MA,7455,CAJAPIÓ,4289,6,1,2,2,0,385,542,10,2253,8266,186,6013,590
MA,7463,CENTRO NOVO DO MARANHÃO,5149,2,1,3,1,0,190,725,14,1836,8761,80,6925,760
MA,7471,CAJARI,7380,4,5,1,1,0,552,330,12,1724,11020,147,9296,864
MA,7480,CIDELÂNDIA,4382,4,5,0,1,0,793,1011,21,2380,9396,126,7016,673
MA,7498,CÂNDIDO MENDES,5660,4,3,9,3,0,721,1669,6,4084,13111,175,9027,777
MA,7501,CONCEIÇÃO DO LAGO-AÇU,5051,1,3,4,1,0,275,636,5,1874,8767,128,6893,789
MA,7510,CANTANHEDE,6079,5,4,5,1,1,589,707,15,2825,11096,106,8271,759
MA,7528,FEIRA NOVA DO MARANHÃO,2183,0,1,1,3,0,267,1107,5,1350,5514,144,4164,453
MA,7536,CAROLINA,7315,6,5,8,4,0,1396,2090,15,4626,16796,224,12170,1107
MA,7544,FERNANDO FALCÃO,3474,2,4,3,0,1,258,633,2,859,5727,61,4868,430
MA,7552,CARUTAPERA,6778,8,1,8,1,0,973,2524,35,3325,14658,123,11333,882
MA,7560,FORMOSA DA SERRA NEGRA,4186,3,1,2,3,0,663,2579,17,2093,10272,79,8179,646
MA,7579,CAXIAS,49833,49,33,44,38,4,9675,6948,215,26956,102285,1425,75329,7065
MA,7595,CEDRAL,4474,5,1,11,2,1,476,270,20,1950,7729,181,5779,338
MA,7609,GOVERNADOR EDISON LOBÃO,4194,1,0,13,1,1,1188,1818,17,1860,9738,143,7878,502
MA,7617,CHAPADINHA,24895,13,6,15,10,2,3015,3623,70,11754,47809,1090,36055,3316
MA,7625,GOVERNADOR LUIZ ROCHA,1933,3,5,1,0,0,398,1301,5,1008,5292,146,4284,492
MA,7633,CODÓ,32502,34,29,44,14,2,5332,6037,174,26802,77919,1262,51117,5687
MA,7641,GOVERNADOR NEWTON BELLO,3881,1,3,6,1,0,272,409,10,2065,7328,77,5263,603
MA,7650,COELHO NETO,17996,10,12,10,38,3,1520,1955,39,10093,34443,390,24350,2377
MA,7668,GOVERNADOR NUNES FREIRE,7751,6,1,3,2,1,552,1603,13,3029,13942,93,10913,888
MA,7676,COLINAS,11661,20,9,5,3,0,800,2189,42,7396,24595,396,17199,2074
MA,7684,IGARAPÉ DO MEIO,4988,6,1,4,2,1,410,594,24,2861,9762,118,6901,753
MA,7692,COROATÁ,21263,15,10,14,8,2,2519,3426,79,12537,44077,589,31540,3615
MA,7706,ITAIPAVA DO GRAJAÚ,4921,2,3,1,8,0,290,844,10,2102,8770,57,6668,532
MA,7714,CURURUPU,12419,9,4,7,5,0,1097,1607,21,7327,23981,368,16654,1117
MA,7722,ITINGA DO MARANHÃO,6046,2,10,10,3,1,1368,4186,28,4294,17352,195,13058,1209
MA,7730,DOM PEDRO,8077,6,2,6,0,0,1023,2237,28,3429,15995,224,12566,963
MA,7749,JATOBÁ,2829,5,2,1,0,0,125,442,9,1126,5199,119,4073,541
MA,7757,DUQUE BACELAR,4196,3,1,1,1,1,602,454,5,2147,8222,113,6075,698
MA,7765,JENIPAPO DOS VIEIRAS,5874,3,3,1,0,0,451,1022,14,2650,10781,137,8131,626
MA,7773,ESPERANTINÓPOLIS,6969,6,4,4,4,0,713,1072,21,3589,13785,256,10196,1147
MA,7781,JUNCO DO MARANHÃO,2410,2,1,0,1,0,157,383,3,1032,4353,60,3321,304
MA,7790,FORTALEZA DOS NOGUEIRAS,5124,7,1,4,3,0,259,856,14,1878,8828,113,6950,569
MA,7803,LAGO DOS RODRIGUES,3453,2,3,3,0,0,341,1031,12,1107,6518,65,5411,501
MA,7811,FORTUNA,6122,3,7,4,1,1,550,562,9,2425,10785,272,8360,829
MA,7820,LAGOA DO MATO,3888,6,4,0,1,0,181,310,2,1976,7328,89,5352,871
MA,7838,GODOFREDO VIANA,2889,6,6,1,2,0,211,905,4,1493,6039,82,4546,440
MA,7846,LAGOA GRANDE DO MARANHÃO,4179,4,1,0,1,0,172,633,9,1493,7187,89,5694,606
MA,7854,GONÇALVES DIAS,5960,5,3,1,1,0,495,812,4,3077,11369,195,8292,816
MA,7862,LAJEADO NOVO,2519,3,0,1,2,0,385,899,11,1146,5442,70,4296,406
MA,7870,GOVERNADOR ARCHER,3765,2,1,6,1,1,345,520,10,1872,7293,97,5421,673
MA,7889,MARACAÇUMÉ,5792,5,2,5,0,0,744,1430,13,3342,12353,144,9011,876
MA,7897,GOVERNADOR EUGÊNIO BARROS,5925,3,4,8,7,0,473,842,15,2622,10920,173,8298,848
MA,7900,MARAJÁ DO SENA,2967,4,2,6,1,0,169,370,3,1269,5536,137,4267,608
MA,7919,GRAÇA ARANHA,3133,3,0,1,1,0,219,310,2,1209,5280,53,4071,349
MA,7927,MARANHÃOZINHO,3725,3,1,1,1,2,235,532,3,1338,6166,32,4828,293
MA,7935,GRAJAÚ,19572,14,22,7,4,1,2341,4099,45,9165,38023,356,28858,2397
MA,7943,MATÕES DO NORTE,3896,7,0,0,0,0,258,204,4,1881,6711,37,4830,424
MA,7951,GUIMARÃES,5540,4,1,2,2,0,523,454,9,2551,9913,242,7362,585
MA,7960,MILAGRES DO MARANHÃO,2391,0,0,0,2,0,151,436,9,1091,4523,59,3432,384
MA,7978,HUMBERTO DE CAMPOS,10926,11,3,3,5,1,855,700,16,4803,18890,216,14087,1351
MA,7986,NOVA COLINAS,2053,0,1,0,0,0,121,508,3,798,3900,74,3102,342
MA,7994,ICATU,11125,13,7,7,2,1,1047,587,25,4419,18933,301,14514,1399
MA,8001,NOVA OLINDA DO MARANHÃO,6116,0,0,2,0,0,662,895,2,2665,11387,159,8722,886
MA,8010,IGARAPÉ GRANDE,3667,5,2,3,4,0,703,1017,12,1137,7342,113,6205,679
MA,8028,OLINDA NOVA DO MARANHÃO,4500,0,5,2,1,2,349,357,11,2465,8540,172,6075,676
MA,8036,IMPERATRIZ,42452,67,38,102,37,5,34897,39868,881,31257,156727,1725,125470,5398
MA,8044,PAULINO NEVES,6089,4,4,4,2,0,297,835,14,2560,10657,114,8097,734
MA,8052,SÃO LUÍS GONZAGA DO MARANHÃO,9861,4,3,4,3,2,568,684,13,5010,17865,169,12855,1544
MA,8060,PEDRO DO ROSÁRIO,8064,4,8,2,1,0,465,641,7,3786,14358,129,10572,1251
MA,8079,ITAPECURU MIRIM,20407,17,10,11,7,1,2805,2028,83,9411,37781,454,28370,2547
MA,8087,PERITORÓ,8275,9,3,2,4,0,539,765,24,3881,14883,179,11002,1202
MA,8095,JOÃO LISBOA,6764,6,10,3,0,0,2104,2829,61,4635,17851,268,13216,1171
MA,8109,PORTO RICO DO MARANHÃO,2738,4,1,2,0,0,549,455,4,1304,5511,148,4207,306
MA,8117,JOSELÂNDIA,5814,3,6,6,3,0,550,880,4,3016,11407,231,8391,894
MA,8125,PRESIDENTE MÉDICI,2897,2,0,1,0,0,233,320,11,948,4644,33,3696,199
MA,8133,LAGO DA PEDRA,13516,20,5,5,4,1,1876,5695,54,8960,32799,394,23839,2269
MA,8141,PRESIDENTE SARNEY,6050,4,1,1,3,0,460,664,10,3243,11399,108,8156,855
MA,8150,LAGO DO JUNCO,3870,2,2,1,2,1,346,562,28,1621,7276,189,5655,652
MA,8168,RAPOSA,8636,15,4,6,4,0,1153,914,52,945,12632,201,11687,702
MA,8176,LAGO VERDE,6065,4,2,1,1,0,279,476,8,2924,10743,142,7819,841
MA,8184,RIBAMAR FIQUENE,2754,1,2,2,0,1,413,1145,8,1425,6195,64,4770,380
MA,8192,LIMA CAMPOS,3816,8,3,1,1,0,790,1310,7,1611,8567,261,6956,759
MA,8206,SANTA FILOMENA DO MARANHÃO,2834,1,1,1,1,0,227,364,4,1065,5044,143,3979,403
MA,8214,LORETO,3912,2,3,2,1,1,167,714,8,1914,7581,80,5667,777
MA,8222,SANTANA DO MARANHÃO,2986,0,2,1,6,0,274,376,1,2072,6472,97,4400,657
MA,8230,LUÍS DOMINGUES,2024,2,5,3,1,0,241,1139,11,1102,4893,63,3791,302
MA,8249,SANTO AMARO DO MARANHÃO,5095,3,3,15,2,0,294,346,11,1377,7748,100,6371,502
MA,8257,MAGALHÃES DE ALMEIDA,5091,4,5,5,3,0,523,1673,22,3216,11589,184,8373,863
MA,8265,SÃO DOMINGOS DO AZEITÃO,2894,2,4,1,1,0,171,364,5,1187,5180,71,3993,480
MA,8273,MATA ROMA,6423,3,4,5,0,0,551,1076,18,1941,11221,264,9280,936
MA,8281,SÃO FRANCISCO DO BREJÃO,2824,0,2,1,0,1,483,1185,7,1190,6162,60,4972,409
MA,8290,MATINHA,9285,9,3,13,4,0,1142,1065,41,3830,16745,484,12915,869
MA,8303,SÃO JOÃO DO CARÚ,5038,5,1,8,0,0,151,636,5,2293,9168,87,6875,944
MA,8311,MATÕES,11075,7,8,6,7,3,617,1291,18,5807,21166,225,15359,2102
MA,8320,SÃO JOÃO DO PARAÍSO,3250,0,1,3,2,0,446,1830,14,1849,8079,124,6230,560
MA,8338,MIRADOR,7517,13,4,2,3,0,429,915,10,3561,13852,185,10291,1213
MA,8346,SÃO JOÃO DO SOTER,5824,2,3,1,1,0,248,398,11,2214,9767,84,7553,981
MA,8354,MIRINZAL,5544,6,4,2,0,0,483,526,7,2879,10237,198,7358,588
MA,8362,SÃO JOSÉ DOS BASÍLIOS,3492,3,1,0,0,0,252,379,2,2094,6943,135,4849,585
MA,8370,MONÇÃO,10326,7,7,5,7,2,687,1030,34,4768,18424,185,13656,1366
MA,8389,SÃO PEDRO DA ÁGUA BRANCA,4322,3,1,3,3,1,334,768,2,2232,8230,71,5998,490
MA,8397,MONTES ALTOS,3356,7,0,1,2,0,640,973,22,1526,7220,97,5694,596
MA,8400,SÃO PEDRO DOS CRENTES,1340,1,1,1,0,0,211,975,7,712,3529,26,2817,255
MA,8419,MORROS,6870,8,5,3,0,0,720,627,29,3074,12560,128,9486,1096
MA,8427,SÃO RAIMUNDO DO DOCA BEZERRA,2299,0,1,1,1,0,177,475,6,1272,4727,89,3455,406
MA,8435,NINA RODRIGUES,4516,5,3,4,1,2,527,451,6,1967,8283,66,6316,735
MA,8443,SÃO ROBERTO,2410,0,0,2,0,0,102,372,0,849,4068,26,3219,307
MA,8451,NOVA IORQUE,1605,2,2,2,2,0,137,461,6,1022,3587,54,2565,294
MA,8460,SATUBINHA,2575,1,1,2,2,0,288,285,5,1308,5000,77,3692,456
MA,8478,OLHO D'ÁGUA DAS CUNHÃS,6577,6,4,4,5,0,361,1389,20,3902,13690,330,9788,1092
MA,8486,SENADOR ALEXANDRE COSTA,3368,1,3,1,1,0,266,493,3,1423,6265,88,4842,618
MA,8494,PAÇO DO LUMIAR,23067,62,21,47,15,3,7953,2734,257,2561,39020,881,36459,1419
MA,8508,SENADOR LA ROCQUE,6802,7,7,5,3,0,1096,1892,21,3918,15195,254,11277,1190
MA,8516,PALMEIRÂNDIA,7911,7,1,2,2,0,538,693,9,3967,14299,192,10332,977
MA,8524,SERRANO DO MARANHÃO,3882,5,4,2,1,0,144,297,1,1636,6720,104,5084,644
MA,8532,PARAIBANO,6472,11,4,6,6,0,445,1212,24,4916,14702,253,9786,1353
MA,8540,SUCUPIRA DO RIACHÃO,1950,6,1,1,1,0,139,265,3,928,3763,84,2835,385
MA,8559,PARNARAMA,12426,5,8,7,6,0,965,1355,19,7081,24487,391,17406,2224
MA,8567,TRIZIDELA DO VALE,6378,2,7,3,6,0,1375,1533,29,1952,12614,235,10662,1094
MA,8575,PASSAGEM FRANCA,5820,19,4,3,8,0,315,1338,6,2349,11553,244,9204,1447
MA,8583,TUFILÂNDIA,3060,0,3,2,2,0,186,202,3,1367,5320,38,3953,457
MA,8591,PASTOS BONS,6447,5,7,1,2,0,415,1254,11,3416,12771,198,9355,1015
MA,8605,TURILÂNDIA,6323,8,5,3,1,0,483,762,12,4033,12671,145,8638,896
MA,8613,PEDREIRAS,13298,15,13,8,10,2,3266,3135,76,7248,29394,459,22146,1864
MA,8621,VILA NOVA DOS MARTÍRIOS,2472,1,2,2,1,0,300,1445,4,1260,5979,74,4719,418
MA,8630,PENALVA,12140,11,3,6,2,1,761,1037,22,8374,24404,167,16030,1880
MA,8656,PERI MIRIM,5190,5,1,5,1,0,356,892,11,2747,10068,265,7321,595
MA,8672,PINDARÉ-MIRIM,10834,9,6,1,6,3,1504,1658,47,5572,21537,286,15965,1611
MA,8699,PINHEIRO,22005,15,21,11,3,2,4435,8289,126,14116,52223,600,38107,2600
MA,8710,PIO XII,8706,10,9,2,2,4,840,1674,21,4612,17574,261,12962,1433
MA,8737,PIRAPEMAS,6412,7,4,2,4,0,468,494,22,3252,11763,155,8511,943
MA,8753,POÇÃO DE PEDRAS,7731,9,4,4,2,0,842,1485,14,4046,15528,305,11482,1086
MA,8770,PORTO FRANCO,4906,4,7,1,3,0,1416,4393,29,2981,14560,144,11579,676
MA,8796,PRESIDENTE DUTRA,14601,9,10,10,3,0,1768,3161,49,7457,29490,660,22033,1762
MA,8818,PRESIDENTE JUSCELINO,4977,11,3,2,0,0,472,203,12,2165,8518,58,6353,615
MA,8834,PRESIDENTE VARGAS,4930,5,3,5,4,1,448,339,14,1914,8583,152,6669,768
MA,8850,PRIMEIRA CRUZ,5222,4,2,0,3,1,283,391,13,2369,9020,107,6651,625
MA,8877,RIACHÃO,6788,7,9,2,1,0,590,1219,9,3791,13728,184,9937,1128
MA,8893,SÃO JOSÉ DE RIBAMAR,40470,74,30,81,20,0,10039,4874,270,14286,75407,1509,61121,3754
MA,8915,ROSÁRIO,15096,10,6,12,3,1,2397,1028,48,6571,26979,465,20408,1342
MA,8931,SAMBAÍBA,2721,1,0,0,5,0,266,578,3,631,4594,45,3963,344
MA,8958,SANTA HELENA,10535,7,3,2,1,0,1041,1874,26,6503,21526,224,15023,1310
MA,8974,SANTA LUZIA,22273,19,12,14,7,4,1909,3869,55,12946,45006,732,32060,3166
MA,8990,SANTA QUITÉRIA DO MARANHÃO,9679,6,7,3,5,1,287,1384,23,4559,17845,463,13286,1428
MA,9016,SANTA RITA,10751,4,5,8,5,1,977,1401,27,5005,19693,306,14688,1203
MA,9032,SANTO ANTÔNIO DOS LOPES,6142,6,3,3,4,0,576,762,19,2351,10896,157,8545,873
MA,9059,SÃO BENEDITO DO RIO PRETO,6904,3,6,11,3,0,522,733,14,2516,11859,137,9343,1010
MA,9075,SÃO BENTO,12168,9,14,0,4,0,1011,3008,26,8007,25986,393,17979,1346
MA,9091,SÃO BERNARDO,8366,11,4,4,29,0,638,2804,18,5065,18986,303,13921,1744
MA,9113,SÃO DOMINGOS DO MARANHÃO,11498,16,6,8,4,0,1553,3542,32,7123,26253,511,19130,1960
MA,9130,SÃO FÉLIX DE BALSAS,2026,3,0,1,2,0,107,240,7,769,3639,83,2870,401
MA,9156,SÃO FRANCISCO DO MARANHÃO,4466,2,3,5,2,0,343,612,18,2546,8934,153,6388,784
MA,9172,SÃO JOÃO BATISTA,10200,9,9,5,2,0,710,821,21,3733,16829,186,13096,1133
MA,9199,SÃO JOÃO DOS PATOS,7931,6,3,3,6,0,873,2222,26,5563,18275,349,12712,1293
MA,9210,SÃO LUÍS,289588,1497,270,804,229,32,143584,66543,5230,125299,668201,12886,542902,22239
MA,9237,SÃO MATEUS DO MARANHÃO,12660,19,6,6,6,2,1375,2870,63,9130,28179,248,19049,1794
MA,9253,SÃO RAIMUNDO DAS MANGABEIRAS,6890,10,6,3,2,0,462,1336,10,3034,12763,136,9729,874
MA,9270,SÃO VICENTE FERRER,8192,11,2,4,3,0,723,669,28,5611,16528,306,10917,979
MA,9296,SÍTIO NOVO,5361,8,5,3,3,1,605,2224,33,2951,12381,141,9430,1046
MA,9318,SUCUPIRA DO NORTE,4686,8,1,3,0,0,277,371,9,1844,7989,114,6145,676
MA,9334,TASSO FRAGOSO,2519,3,1,1,1,0,354,757,6,1170,5302,58,4132,432
MA,9350,TIMBIRAS,8802,6,5,3,2,1,560,920,26,6455,18438,176,11983,1482
MA,9377,TIMON,51751,65,49,50,30,3,10439,9127,310,20372,100146,1552,79774,6398
MA,9393,TUNTUM,12133,12,9,6,8,0,2294,3427,37,7488,27468,472,19980,1582
MA,9415,TURIAÇU,11053,3,9,5,2,0,1048,2619,24,6850,23350,339,16500,1398
MA,9431,TUTÓIA,14359,6,9,12,9,0,1539,4427,47,9658,33236,875,23578,2295
MA,9458,URBANO SANTOS,9488,7,6,9,9,1,862,721,24,2905,15857,340,12952,1485
