SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MA,8915,ROSARIO,655,1253,572,11,477,6,0,0,22,0,0,127,528,7223,427,1,6,0,92,9,80,0,365,6,68,2,892,0,20,13,6665,22947,851,16282,446
MA,8931,SAMBAIBA,7,70,29,1,59,0,0,0,0,0,0,0,0,2452,1,0,3,0,0,0,0,0,0,14,0,0,126,0,0,0,1061,4372,32,3311,70
MA,8958,SANTA HELENA,411,190,265,2,4544,2,0,0,14,0,0,1687,33,2446,113,1,1,0,253,1,3,0,340,2,7,1,87,0,7,0,3726,16150,392,12424,225
MA,8974,SANTA LUZIA,235,4839,1721,69,267,2,0,0,1,0,0,55,32,8241,391,0,7,0,6,13,3,0,3774,10,11,8,3137,0,14,3,10830,39240,965,28410,960
MA,8990,SANTA QUITERIA DO MARANHAO,25,238,60,4,3859,0,0,0,8,0,0,190,9,3599,2,0,959,0,0,0,1,0,66,2,2,0,101,0,0,0,2064,13030,423,10966,269
MA,9016,SANTA RITA,980,587,555,8,3140,2,0,0,14,0,0,45,128,2169,201,4,31,0,4,17,3,0,116,61,51,1,295,0,1,11,4996,15418,551,10422,236
MA,9032,SANTO ANTONIO DOS LOPES,3201,403,87,0,66,0,0,0,0,0,0,68,3,2168,15,0,4,0,0,0,0,0,57,1,2,1,90,0,0,0,1586,8780,183,7194,155
MA,9059,SAO BENEDITO DO RIO PRETO,251,801,332,86,1239,1,0,0,0,0,0,20,16,2759,45,4,0,0,8,4,2,0,96,7,1,4,110,0,2,0,1609,8893,336,7284,165
MA,9075,SAO BENTO,88,4264,107,2,1676,1,0,0,149,0,0,3153,35,2590,110,0,4,0,2,8,0,0,142,0,29,2,107,0,23,6,5300,19980,648,14680,261
MA,9091,SAO BERNARDO,30,242,290,26,5704,0,0,1,0,0,0,73,26,664,3,0,18,0,1,4,0,0,1300,1,2,3,111,0,0,1,3161,13539,369,10378,278
MA,9113,SAO DOMINGOS DO MARANHAO,54,258,100,149,5621,0,0,2,0,0,0,17,15,6079,781,0,6,0,1,0,0,0,277,2,2,0,211,0,4,0,4967,20918,358,15951,384
MA,9130,SAO FELIX DE BALSAS,8,31,6,2,531,0,0,0,0,0,0,2,3,1272,0,0,0,0,0,0,0,0,4,8,0,1,215,0,0,0,486,3115,43,2629,88
MA,9156,SAO FRANCISCO DO MARANHAO,31,1212,16,5,1979,0,0,0,2,0,0,9,14,719,4,0,38,0,0,0,0,0,6,2,1,1,153,0,0,1,2104,7567,263,5463,159
MA,9172,SAO JOAO BATISTA,28,488,254,99,3732,0,0,0,11,0,0,312,70,3384,126,0,1,0,4,2,2,0,153,4,3,1,205,0,55,5,4195,14639,206,10444,267
MA,9199,SAO JOAO DOS PATOS,40,1241,168,7,1737,0,0,0,1,0,0,70,156,4171,24,0,16,0,0,0,2,0,121,2,46,0,310,0,3,325,4241,15028,599,10787,303
