SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PR,77852,PORTO VITÓRIA,0,2,6,422,2,586,0,14,0,9,0,6,13,6,0,0,0,0,0,1,0,0,5,0,966,0,1,0,0,492,2940,136,2448,58
PR,77879,PRESIDENTE CASTELO BRANCO,9,460,75,356,0,784,0,3,0,63,0,0,3,46,2,0,0,0,34,102,0,18,13,0,544,0,1,0,0,601,3659,144,3058,69
PR,77895,PRIMEIRO DE MAIO,24,155,50,265,13,3384,0,3,16,32,0,37,151,1133,0,18,0,0,0,7,2,241,18,0,53,0,0,12,7,1104,8057,404,6953,296
PR,77917,PRUDENTÓPOLIS,49,89,5560,697,79,4471,1,2,21,21,2,40,10213,546,0,8,3,0,7,7,10,216,131,6,2837,0,6,9,2,6858,36925,1501,30067,989
PR,77933,QUATIGUÁ,13,6,20,59,9,3256,0,3,5,25,0,2,45,47,0,4,4,0,41,0,0,0,32,0,358,0,0,1,0,650,5434,297,4784,127
PR,77950,QUATRO BARRAS,155,214,1117,823,570,1837,3,2,0,85,0,23,963,83,9,36,5,0,14,34,9,245,383,0,830,4,10,48,2,940,10287,771,9347,287
PR,77976,QUERÊNCIA DO NORTE,3,33,66,689,2,1955,0,593,0,27,0,1,22,174,0,0,0,0,0,7,0,1,38,1,1495,0,1,0,1,1737,7998,223,6261,135
PR,77992,QUINTA DO SOL,2,36,11,60,5,612,0,0,2,26,0,3,198,12,0,0,37,0,7,7,1,373,11,0,1406,0,0,0,0,799,4171,119,3372,45
PR,78018,QUITANDINHA,11,28,408,99,54,4565,0,23,2,23,0,8,1055,451,3,0,0,1,2,3,1,66,94,4,1163,2,1,1,1,1086,10649,564,9563,216
PR,78034,RANCHO ALEGRE,3,33,28,632,10,1557,0,0,0,21,0,2,19,20,1,3,0,0,3,3,0,3,1,0,41,0,0,0,0,555,3389,122,2834,53
PR,78050,REALEZA,21,15,2894,1618,2,1289,0,2,55,69,0,13,286,317,0,2,1,0,0,21,0,9,21,0,1520,7,0,4,0,1668,11302,435,9634,197
PR,78077,REBOUÇAS,7,10,520,1644,20,2293,0,0,3,78,1,4,1442,900,1,11,0,0,1,1,0,28,11,2,663,3,2,1,0,1930,11142,506,9212,224
PR,78093,RENASCENÇA,0,9,694,685,0,721,0,0,0,30,0,5,78,510,0,2,0,0,0,1,0,2,1,1,646,0,0,42,0,518,4499,163,3981,80
PR,78115,RESERVA,12,149,85,3049,1296,5297,1,1,56,43,0,28,988,194,1,0,8,0,5,4,0,123,19,2,73,3,8,0,0,2223,16343,715,14120,385
PR,78131,RIBEIRÃO CLARO,1,10,39,152,12,1153,0,1,0,6,0,2,25,195,0,0,0,1,7,2,0,15,2,2,4016,1,0,0,1,859,7686,345,6827,173
PR,78158,RIBEIRÃO DO PINHAL,16,23,105,707,23,4941,0,30,1,17,0,48,55,20,6,14,1,0,10,3,0,52,18,0,652,0,3,2,3,3068,11231,437,8163,182
PR,78174,RIO AZUL,14,10,591,520,23,2413,0,0,13,50,0,4,1585,46,3,4,1,0,0,2,0,16,46,1,1888,0,3,1,0,1285,9858,342,8573,251
PR,78190,RIO BOM,1,7,54,64,1,827,0,0,3,5,0,6,36,32,3,0,0,0,0,216,0,239,1,1,416,0,1,0,1,433,2812,153,2379,68
PR,78212,RIO BRANCO DO SUL,47,158,554,955,491,11792,2,10,4,582,0,17,597,197,2,5,12,0,4,13,0,143,138,1,346,4,9,17,5,2349,22115,1337,19766,437
PR,78239,RIO NEGRO,63,670,288,1117,93,7864,8,75,15,338,0,64,883,1631,0,23,2,1,4,25,6,382,239,3,483,1,19,2,2,3282,21563,1802,18281,742
PR,78255,ROLÂNDIA,145,444,705,491,45,8557,1,25,4,213,0,212,424,1387,92,6,7,0,12,42,8,2594,140,3,483,1,23,11240,79,6288,40534,2851,34246,1336
