SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MG,45853,IAPU,4,176,621,25,84,0,0,34,121,0,0,111,56,275,4,0,19,1,3,0,4,0,93,2,15,0,2538,0,1,0,1471,7134,262,5663,221
MG,45870,IBERTIOGA,134,744,215,16,22,1,0,1,0,0,0,124,12,8,0,0,1,0,0,0,0,0,6,380,6,4,970,0,0,0,365,3801,147,3436,93
MG,45896,IBIA,32,965,494,2237,81,0,0,2219,1,0,0,215,70,468,5,0,980,1,4,0,71,0,1293,10,5,16,201,0,7,0,2696,15173,928,12477,449
MG,45918,IBIAI,19,35,65,1009,785,0,0,21,0,0,0,162,352,1,0,0,0,0,0,0,10,0,110,2,2,0,102,0,2,0,1273,4811,169,3538,109
MG,45934,IBIRACI,2785,200,403,12,471,0,0,34,4,0,0,35,18,735,0,0,6,0,0,0,1,0,60,1,0,0,28,0,1,0,1277,7442,315,6165,131
MG,45950,IBIRITE,969,1121,7994,939,2332,19,0,788,116,14,0,20822,3450,302,18,6,289,13,79,224,807,1,2076,2293,168,37,850,0,400,12,7619,65975,3008,58356,1804
MG,45977,IBITIURA DE MINAS,302,50,91,16,48,0,0,5,0,0,0,189,24,486,0,0,149,0,0,0,1,0,16,44,46,0,31,0,1,0,437,2747,261,2310,159
MG,45993,IBITURUNA,563,18,48,453,73,0,0,5,0,0,0,124,0,3,0,0,2,0,1,2,4,0,2,0,0,0,104,0,0,0,261,2015,51,1754,44
MG,46019,IGARAPE,1476,206,1086,2556,993,7,0,604,17,7,0,754,108,104,1,0,804,8,11,5,40,0,351,471,84,16,606,0,284,2,2390,16779,1029,14389,539
MG,46035,IGARATINGA,21,94,49,6,1135,1,0,16,0,4,0,638,504,55,0,0,501,0,1,2,10,0,57,8,19,1,139,0,0,0,654,4946,384,4292,111
MG,46051,IGUATAMA,1438,180,135,585,90,0,0,66,1,0,0,1527,22,46,0,0,10,1,0,0,27,0,39,2,2,0,310,0,2,0,1114,6561,235,5447,137
MG,46078,IJACI,128,48,338,610,71,1,0,71,0,0,0,158,394,370,0,0,14,0,0,71,39,0,39,9,1,2,111,0,2,0,429,4033,363,3604,207
MG,46094,ILICINEA,416,439,2187,400,332,0,0,144,2,4,0,120,4,543,0,0,3,0,0,2,0,0,26,10,3,0,12,0,0,0,1327,7279,377,5952,90
MG,46116,INCONFIDENTES,1912,63,519,157,376,0,0,2,0,0,0,106,2,138,0,0,14,0,0,1,2,0,34,6,23,0,157,0,8,0,794,5315,330,4521,100
MG,46132,INDIANOPOLIS,1,41,398,39,10,0,0,287,0,0,0,7,239,9,0,0,10,0,0,0,222,0,211,0,1,0,798,0,0,0,362,3210,145,2848,73
MG,46159,INGAI,36,24,43,413,529,0,0,6,0,0,0,20,1,15,0,0,7,0,0,31,21,0,10,3,3,0,88,0,2,0,334,1987,111,1653,58
MG,46175,INHAPIM,76,236,1750,49,2343,1,0,46,1260,0,0,874,64,895,13,0,35,0,1,3,6,0,569,2,6,1,3233,0,7,0,5069,20161,766,15092,480
MG,46191,INHAUMA,29,1171,94,229,235,0,0,11,3,0,0,97,19,304,0,7,7,0,0,0,12,0,48,10,94,0,64,0,1,0,641,3764,143,3123,95
MG,46213,INIMUTABA,5,500,30,65,1810,1,0,51,0,1,0,127,29,5,0,0,10,0,0,0,12,0,8,2,0,1,69,0,2,0,810,4362,169,3552,130
MG,46230,IPANEMA,92,2562,1040,28,3325,0,0,27,36,1,0,211,38,120,1,0,70,0,1,6,40,5,219,1,38,0,146,0,4,1,2764,13062,434,10298,291
MG,46256,IPATINGA,535,7505,41943,644,996,13,0,5349,6199,13,0,15030,5485,12928,99,5,249,10,24,57,443,15,5146,126,167,14,2092,0,147,1,21740,146797,4502,125057,2480
MG,46272,IPIACU,12,26,233,5,52,0,0,18,0,0,0,1296,3,540,0,0,0,0,0,0,2,0,23,0,0,0,156,0,0,0,608,3439,78,2831,55
MG,46299,IPUIUNA,393,38,474,25,515,0,0,95,2,0,0,100,10,2806,0,0,13,0,0,0,14,0,23,38,25,0,22,0,1,0,977,6957,360,5980,188
