SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SE,32190,RIBEIRÓPOLIS,150,30,256,319,2,813,0,361,0,107,3,49,95,4851,0,0,0,6,1,37,1977,42,12,65,3,4,74,1732,12701,420,10969,349
SE,32212,ROSÁRIO DO CATETE,35,328,73,669,1,45,0,277,0,418,1,778,15,1090,0,0,0,2,0,39,632,92,5,86,0,263,143,889,6772,277,5883,163
SE,32239,SALGADO,186,420,91,2025,1,582,0,295,0,1998,0,46,25,1432,0,0,0,0,0,259,431,204,4,403,18,22,512,2097,13978,862,11881,924
SE,32255,SANTA LUZIA DO ITANHY,40,53,28,712,0,151,0,264,0,485,0,22,123,1285,1,0,0,0,4,571,198,35,18,1853,13,27,84,2193,9635,435,7442,200
SE,32298,SANTA ROSA DE LIMA,8,17,180,231,1,558,0,150,0,93,1,29,6,418,0,0,0,0,1,11,330,13,1,13,0,61,12,509,3281,183,2772,194
SE,32310,SANTO AMARO DAS BROTAS,87,106,63,1068,2,43,0,232,0,1706,0,134,23,261,0,0,0,1,0,43,1306,16,2,54,2,10,263,1870,8304,258,6434,191
SE,32336,SÃO CRISTÓVÃO,648,522,1390,3241,26,1311,0,2615,0,6406,11,2607,231,1886,18,1,0,16,5,1309,2902,579,106,913,133,317,1336,6517,48502,2241,41985,8157
SE,32352,SÃO DOMINGOS,20,2436,29,547,1,124,0,204,0,96,0,4,65,81,0,0,0,0,0,34,222,904,3,10,1,2,33,1703,7442,294,5739,151
SE,32379,SÃO FRANCISCO,16,371,86,891,0,15,0,56,0,188,0,10,13,195,0,0,0,0,3,121,18,12,3,16,0,5,16,295,2628,63,2333,39
SE,32395,SÃO MIGUEL DO ALEIXO,16,4,517,265,0,152,0,256,0,229,0,52,3,304,0,0,0,0,0,9,126,11,1,8,0,14,30,534,3053,118,2519,60
SE,32417,SIMÃO DIAS,193,98,125,2823,6,124,0,680,0,1475,339,37,40,6791,79,17,0,2,3,651,3294,505,45,190,11,977,508,5248,30258,1910,25010,1437
SE,32433,SIRIRI,17,52,90,312,0,289,0,331,0,1170,2,74,9,264,0,0,0,2,0,32,1034,43,11,30,4,27,325,1017,5973,229,4956,195
SE,32450,TELHA,4,61,149,599,0,5,0,62,0,749,0,2,1,189,0,0,0,0,0,60,24,2,2,7,1,1,21,351,2604,55,2253,69
SE,32476,TOBIAS BARRETO,123,1254,110,1149,3,457,0,2019,0,4791,1,810,844,1515,0,0,0,1,7,8424,1726,702,3,134,7,23,599,8383,37586,1046,29203,1001
SE,32492,TOMAR DO GERU,55,182,1104,1516,8,1303,0,391,0,179,0,2,46,312,0,0,0,0,0,163,62,25,0,402,1,88,117,2852,10309,366,7457,204
SE,32514,UMBAÚBA,309,143,49,2328,1,374,0,656,0,2518,0,18,26,629,15,0,0,1,3,286,93,225,5,2055,4,330,176,2924,15356,701,12432,321
SP,61000,EUCLIDES DA CUNHA PAULISTA,20,3,419,693,819,39,0,1,0,207,0,12,12,117,0,0,0,0,1,2,160,369,0,932,10,21,0,2213,7826,250,5613,924
SP,61018,ADAMANTINA,92,102,1627,1581,305,77,0,13,1,683,0,262,684,633,1,0,0,0,5,1,590,3666,1,6194,54,99,20,5890,27226,1934,21336,614
SP,61026,BOREBI,89,2,17,105,73,22,0,0,1,39,0,1,4,16,0,0,0,0,0,0,1,36,0,894,0,3,0,196,1690,39,1494,40
SP,61034,ADOLFO,6,6,12,483,38,233,0,4,0,101,0,2,240,38,0,0,0,0,0,0,75,96,0,715,10,9,0,580,3178,222,2598,87
SP,61042,TARUMÃ,72,7,131,427,94,63,0,102,0,2171,0,14,40,20,0,1,0,0,3,1,585,844,0,2235,1,4,2,1729,9754,450,8025,146
SP,61050,AGUAÍ,19,167,1117,3163,1014,597,2,22,5,553,0,68,1496,621,9,5,0,1,0,7,195,1570,1,2596,28,40,46,4838,23419,1800,18581,1097
SP,61069,MOTUCA,19,16,52,835,95,135,0,16,0,46,0,88,39,326,0,0,0,0,0,0,4,89,0,409,0,10,0,806,3561,188,2755,77
SP,61077,ÁGUAS DA PRATA,1,17,227,607,375,28,0,22,1,227,0,20,1349,156,0,0,0,0,1,2,26,109,0,566,8,23,14,1208,6092,331,4884,213
SP,61085,IARAS,2,129,116,724,315,25,0,1,1,27,0,9,14,53,0,0,0,1,0,0,12,96,4,545,0,7,2,868,3523,159,2655,82
SP,61093,ÁGUAS DE LINDÓIA,41,31,207,220,139,35,0,5,0,241,0,39,1256,696,2,0,0,1,23,3,75,98,1,2940,16,36,1,2582,12936,636,10354,2482
SP,61107,GUATAPARÁ,3,20,409,752,75,385,0,2,0,84,0,151,54,140,0,0,0,0,0,0,17,33,0,847,0,19,2,1050,4816,283,3766,119
SP,61115,ÁGUAS DE SÃO PEDRO,8,19,45,258,60,84,0,5,0,47,0,85,484,174,2,0,0,0,0,0,74,160,0,519,3,14,1,567,3172,130,2605,143
SP,61123,DIRCE REIS,1,8,17,137,14,206,0,1,0,19,0,1,19,145,0,0,0,0,0,0,80,36,0,387,3,0,0,185,1445,74,1260,10
SP,61131,AGUDOS,2298,399,278,1037,127,526,0,2,1,796,0,485,110,572,0,1,0,0,3,5,336,1197,2,10565,46,146,5,4900,27576,1078,22676,907
SP,61140,ESPÍRITO SANTO DO TURVO,3,13,43,954,15,64,0,5,0,47,0,0,8,9,0,0,0,0,1,0,49,28,0,1053,0,2,1,524,3216,115,2692,43
SP,61158,ALFREDO MARCONDES,7,8,149,186,251,170,0,20,0,35,0,1,45,25,0,0,0,0,0,8,436,84,0,783,18,9,3,438,3256,204,2818,107
SP,61166,ROSANA,46,112,240,2751,393,308,0,21,4,362,0,8,94,222,1,0,0,0,38,1,637,488,0,2710,20,77,0,5401,16794,815,11393,649
SP,61174,ALTAIR,27,4,22,1482,57,117,0,1,0,14,0,22,103,47,0,0,0,1,0,0,32,3,0,44,0,0,21,708,3089,123,2381,48
SP,61182,EMBAÚBA,6,1,5,236,84,348,0,6,0,11,0,4,37,93,0,0,0,0,0,0,18,54,0,601,1,3,40,377,2233,110,1856,45
SP,61190,ALTINÓPOLIS,7,49,818,565,332,2859,0,15,0,205,0,58,964,451,1,1,0,1,2,2,23,163,0,1330,25,137,2,2687,13105,866,10418,371
SP,61204,ILHA SOLTEIRA,58,112,1445,1928,309,4188,0,21,7,426,0,75,278,1483,0,0,0,2,4,5,405,453,0,759,66,88,2,5052,20661,818,15609,734
SP,61212,ALTO ALEGRE,1,13,48,158,873,40,0,0,0,146,0,2,25,89,0,0,0,0,2,0,8,595,0,313,6,4,0,502,3563,307,3061,117
SP,61220,ALUMÍNIO,86,115,142,1117,313,98,2,1187,0,807,0,869,101,255,1,2,0,0,147,5,1494,1003,1,996,282,115,1,1916,13433,669,11517,459
SP,61239,ÁLVARES FLORENCE,13,1,33,187,24,155,0,0,0,34,0,2,154,218,0,0,0,0,0,0,8,27,0,1267,34,2,0,495,3192,147,2697,93
SP,61247,PEDRINHAS PAULISTA,14,3,10,30,582,10,0,16,0,207,0,0,36,76,0,0,0,0,0,0,14,55,0,766,7,2,0,486,2590,60,2104,54
SP,61255,ÁLVARES MACHADO,98,23,133,859,203,968,0,6,1,121,0,97,205,120,0,0,0,0,0,37,1982,1411,3,4324,24,37,4,3090,16544,959,13454,494
SP,61263,ARAÇARIGUAMA,73,7,103,352,311,41,0,10,12,112,0,3694,67,1179,1,0,0,2,88,9,20,1236,2,710,32,31,1,2526,12245,471,9719,315
SP,61271,ÁLVARO DE CARVALHO,4,63,60,276,23,5,0,40,0,43,0,2,11,18,0,0,0,0,0,0,242,741,0,322,6,1,0,743,3161,153,2418,114
SP,61280,BERTIOGA,514,314,751,2521,1792,2035,0,83,6,1047,0,221,571,779,2,0,0,1,1236,45,668,783,11,5383,86,193,739,8873,35972,2148,27099,1084
SP,61298,ALVINLÂNDIA,1,1,103,123,53,26,0,130,0,115,0,22,141,16,0,0,0,0,0,0,492,12,0,398,0,1,0,504,2488,77,1984,63
