SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27952,MARIBONDO,0,5159,0,0,216,4841,0,0,0,0,0,0,180,0,0,9,0,0,0,0,0,0,0,1641,258,0,881,8844,1385,7963,2237
AL,27979,MAR VERMELHO,0,1595,0,0,180,1888,0,0,0,0,0,0,67,0,0,4,0,0,0,0,0,0,0,269,441,0,564,3268,344,2704,620
AL,27995,MATA GRANDE,0,5757,0,0,1263,6227,0,0,0,0,0,0,2032,0,0,9,0,0,0,0,0,0,0,2492,447,0,5340,17376,2205,12036,3640
AL,28010,MATRIZ DE CAMARAGIBE,0,7024,0,0,329,4709,0,0,0,0,0,0,1202,0,0,208,0,0,0,0,0,0,0,4178,2200,0,4898,17159,2091,12261,2581
AL,28037,MESSIAS,0,6137,0,0,424,5804,0,0,0,0,0,0,284,0,0,45,0,0,0,0,0,0,0,1516,378,0,2686,11697,1396,9011,2038
AL,28053,MINADOR DO NEGRÃO,0,1598,0,0,1002,1720,0,0,0,0,0,0,213,0,0,3,0,0,0,0,0,0,0,308,45,0,597,3591,260,2994,839
AL,28070,MONTEIRÓPOLIS,0,2502,0,0,84,2737,0,0,0,0,0,0,74,0,0,18,0,0,0,0,0,0,0,874,309,0,1406,5410,448,4004,962
AL,28096,MURICI,0,6976,0,0,220,8074,0,0,0,0,0,0,437,0,0,33,0,0,0,0,0,0,0,4691,3009,0,4269,18903,1983,14634,3845
AL,28118,NOVO LINO,0,3939,0,0,87,3781,0,0,0,0,0,0,499,0,0,45,0,0,0,0,0,0,0,938,180,0,1698,8099,1597,6401,1736
AL,28134,OLHO D'ÁGUA DAS FLORES,0,6468,0,0,767,6237,0,0,0,0,0,0,554,0,0,104,0,0,0,0,0,0,0,2066,405,0,3698,14092,1551,10394,2636
AL,28150,OLHO D'ÁGUA DO CASADO,0,3355,0,0,597,2641,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,499,181,0,1091,5541,486,4450,1116
AL,28177,OLHO D'ÁGUA GRANDE,0,1933,0,0,87,1914,0,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,330,99,0,1267,4177,698,2910,720
AL,28193,OLIVENÇA,0,4292,0,0,627,3860,0,0,0,0,0,0,169,0,0,189,0,0,0,0,0,0,0,1064,101,0,2547,8788,409,6241,1771
AL,28215,OURO BRANCO,0,4068,0,0,154,4284,0,0,0,0,0,0,63,0,0,6,0,0,0,0,0,0,0,1415,515,0,2100,8338,490,6238,1481
AL,28231,PALESTINA,0,1780,0,0,63,1900,0,0,0,0,0,0,299,0,0,19,0,0,0,0,0,0,0,358,73,0,1042,3870,387,2828,777
AL,28258,PALMEIRA DOS ÍNDIOS,0,18662,0,0,3476,21330,0,0,0,0,0,0,1195,0,0,476,0,0,0,0,0,0,0,9889,4655,0,12906,51373,6987,38467,10264
AL,28274,PÃO DE AÇÚCAR,0,6475,0,0,1092,7956,0,0,0,0,0,0,464,0,0,59,0,0,0,0,0,0,0,4407,947,0,4557,17743,1624,13186,3348
AL,28290,PASSO DE CAMARAGIBE,0,3984,0,0,229,4802,0,0,0,0,0,0,337,0,0,67,0,0,0,0,0,0,0,1679,935,0,2482,10685,2416,8203,1957
AL,28312,PAULO JACINTO,0,3433,0,0,238,3449,0,0,0,0,0,0,364,0,0,4,0,0,0,0,0,0,0,513,99,0,1044,6010,602,4966,1230
AL,28339,PENEDO,0,15222,0,0,1094,15999,0,0,0,0,0,0,3763,0,0,53,0,0,0,0,0,0,0,8374,2901,0,9871,39416,5484,29545,6200
AL,28355,PIAÇABUÇU,0,5550,0,0,774,5237,0,0,0,0,0,0,260,0,0,95,0,0,0,0,0,0,0,1438,196,0,3414,12669,2137,9255,2823
AL,28371,PILAR,0,13115,0,0,367,10360,0,0,0,0,0,0,996,0,0,184,0,0,0,0,0,0,0,4343,839,0,6081,25577,4282,19496,4506
AL,28398,PINDOBA,0,1332,0,0,228,1242,0,0,0,0,0,0,36,0,0,7,0,0,0,0,0,0,0,315,89,0,468,2417,152,1949,497
AL,28410,PIRANHAS,0,4563,0,0,120,6154,0,0,0,0,0,0,566,0,0,163,0,0,0,0,0,0,0,3229,1840,0,2683,13409,1410,10726,3407
AL,28436,POÇO DAS TRINCHEIRAS,0,3689,0,0,237,4844,0,0,0,0,0,0,80,0,0,8,0,0,0,0,0,0,0,1767,227,0,802,7341,675,6539,1551
AL,28452,PORTO CALVO,0,8487,0,0,425,6962,0,0,0,0,0,0,668,0,0,642,0,0,0,0,0,0,0,2741,1046,0,5470,20010,4298,14540,3811
AL,28479,PORTO DE PEDRAS,0,2826,0,0,148,2309,0,0,0,0,0,0,173,0,0,120,0,0,0,0,0,0,0,1027,393,0,1676,6474,1501,4798,1099
AL,28495,PORTO REAL DO COLÉGIO,0,4289,0,0,830,5073,0,0,0,0,0,0,1095,0,0,17,0,0,0,0,0,0,0,2088,1022,0,3449,13946,3981,10497,2599
AL,28517,QUEBRANGULO,0,5148,0,0,375,4326,0,0,0,0,0,0,304,0,0,217,0,0,0,0,0,0,0,938,126,0,767,7855,864,7088,1878
