SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,62952,CAMPOS DO JORDÃO,4741,23,267,12,17,154,4,4425,171,15901,314,9751,38653,1515,28902,1358
SP,62979,CAMPOS NOVOS PAULISTA,830,0,3,3,0,4,0,521,18,1288,15,818,3703,120,2885,83
SP,62995,CANANÉIA,1835,5,47,5,0,31,0,1524,55,3040,81,3067,10204,212,7137,302
SP,63010,CÂNDIDO MOTA,4110,0,81,2,5,42,0,2669,92,10070,172,5651,24684,1038,19033,752
SP,63037,CÂNDIDO RODRIGUES,419,0,3,1,0,5,0,236,9,1110,13,521,2548,127,2027,104
SP,63053,CAPÃO BONITO,6891,7,203,6,9,96,5,5667,166,12352,232,8947,36779,1309,27832,889
SP,63070,CAPELA DO ALTO,2404,1,26,2,2,51,0,1706,71,5180,80,2449,12812,520,10363,320
SP,63096,CAPIVARI,3912,8,148,8,13,110,1,5797,253,15390,384,6805,35447,1352,28642,1266
SP,63118,CARAGUATATUBA,12380,30,498,14,20,219,3,16346,454,22992,949,17745,77539,2865,59794,3024
SP,63134,CARAPICUÍBA,67425,134,1676,101,183,1657,40,61919,1936,61003,4591,50120,276929,13382,226809,12762
SP,63150,CARDOSO,2307,3,30,2,1,15,1,1029,28,3185,60,2722,10117,351,7395,383
SP,63177,CASA BRANCA,2914,1,79,6,5,39,1,2653,187,7648,305,5442,21031,832,15589,919
SP,63193,CÁSSIA DOS COQUEIROS,464,0,4,1,1,2,3,241,7,1068,25,747,2774,92,2027,119
SP,63215,CASTILHO,4389,1,34,1,1,31,0,2890,62,2703,97,2816,13931,521,11115,385
