,NM_CAND,NM_URNA,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS ELEITO
72,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61727,HORTOLANDIA,SP,41059
73,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61735,ARIRANHA,SP,2259
74,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61743,HOLAMBRA,SP,2555
75,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61751,ARTUR NOGUEIRA,SP,9229
76,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61760,ELISIARIO,SP,406
77,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61778,ARUJA,SP,15283
78,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61786,BOM SUCESSO DE ITARARE,SP,593
79,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61794,ASSIS,SP,25522
80,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61808,PONTALINDA,SP,631
81,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61816,ATIBAIA,SP,19599
82,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61824,PARISI,SP,440
83,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61832,AURIFLAMA,SP,4045
84,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61840,TAQUARIVAI,SP,554
85,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61859,AVAI,SP,1176
86,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61867,MARAPOAMA,SP,352
87,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61875,AVANHANDAVA,SP,1759
88,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61883,SAO JOAO DE IRACEMA,SP,670
89,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61891,AVARE,SP,15445
90,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61905,SAO LOURENCO DA SERRA,SP,1591
91,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61913,BADY BASSIT,SP,2689
92,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61921,ZACARIAS,SP,657
93,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61930,BALBINOS,SP,217
94,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61948,ITAPIRAPUA PAULISTA,SP,514
95,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61956,BALSAMO,SP,1675
96,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61964,MESOPOLIS,SP,218
97,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61972,BANANAL,SP,2266
98,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61980,NOVA CAMPINA,SP,894
99,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,61999,BARBOSA,SP,1162
100,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62006,ILHA COMPRIDA,SP,1141
101,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62014,BARAO DE ANTONINA,SP,486
102,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62022,LOURDES,SP,288
103,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62030,BARIRI,SP,8090
104,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62049,TORRE DE PEDRA,SP,444
105,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62057,BARRA BONITA,SP,11117
106,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62065,ARCO IRIS,SP,477
107,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62073,BARRA DO TURVO,SP,1089
108,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62081,BREJO ALEGRE,SP,755
109,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62090,BARRETOS,SP,25386
110,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62103,CANAS,SP,670
111,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62111,BARRINHA,SP,5611
112,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62120,PRACINHA,SP,264
113,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62138,BARUERI,SP,57598
114,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62146,PRATANIA,SP,658
115,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62154,BASTOS,SP,3599
116,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62162,QUADRA,SP,449
117,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62170,BATATAIS,SP,11544
118,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62189,SANTA CRUZ DA ESPERANCA,SP,397
119,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62197,BAURU,SP,101184
120,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62200,SANTA SALETE,SP,376
121,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62219,BEBEDOURO,SP,17507
122,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62227,VITORIA BRASIL,SP,453
123,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62235,BENTO DE ABREU,SP,423
124,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62243,IPIGUA,SP,735
125,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62251,BERNARDINO DE CAMPOS,SP,2716
126,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62260,TAQUARAL,SP,769
127,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62278,BILAC,SP,1512
128,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62286,FERNAO,SP,353
129,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62294,BIRIGUI,SP,24634
130,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62308,GAVIAO PEIXOTO,SP,968
131,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62316,BIRITIBA MIRIM,SP,4284
132,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62324,JUMIRIM,SP,394
133,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62332,BOA ESPERANCA DO SUL,SP,3485
134,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62340,NANTES,SP,517
135,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62359,BOCAINA,SP,2591
136,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62367,NOVA CASTILHO,SP,326
137,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62375,BOFETE,SP,1124
138,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62383,OUROESTE,SP,1656
139,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62391,BOITUVA,SP,6844
140,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62405,PAULISTANIA,SP,256
141,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62413,BOM JESUS DOS PERDOES,SP,2387
142,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62421,RIBEIRAO DOS INDIOS,SP,553
143,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62430,BORA,SP,137
144,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62448,TRABIJU,SP,368
145,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62456,BORACEIA,SP,1249
146,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62472,BORBOREMA,SP,2936
147,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62499,BOTUCATU,SP,30381
148,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62510,BRAGANCA PAULISTA,SP,31598
149,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62553,BRAUNA,SP,904
150,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62570,BRODOWSKI,SP,3474
151,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62596,BROTAS,SP,3743
152,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62618,BURI,SP,2649
153,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62634,BURITAMA,SP,3346
154,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62650,BURITIZAL,SP,445
155,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62677,CABRALIA PAULISTA,SP,1208
156,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62693,CABREUVA,SP,6489
157,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62715,CACAPAVA,SP,23237
158,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62731,CACHOEIRA PAULISTA,SP,8901
159,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62758,CACONDE,SP,3275
160,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62774,CAFELANDIA,SP,3254
161,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62790,CAIABU,SP,862
162,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62812,CAIEIRAS,SP,16374
163,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62839,CAIUA,SP,807
164,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62855,CAJAMAR,SP,14122
165,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62871,CAJOBI,SP,1877
166,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62898,CAJURU,SP,4840
167,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62910,CAMPINAS,SP,327538
168,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62936,CAMPO LIMPO PAULISTA,SP,19920
169,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62952,CAMPOS DO JORDAO,SP,8089
170,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62979,CAMPOS NOVOS PAULISTA,SP,715
171,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,62995,CANANEIA,SP,2030
172,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63010,CANDIDO MOTA,SP,6378
173,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63037,CANDIDO RODRIGUES,SP,642
174,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63053,CAPAO BONITO,SP,8406
175,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63070,CAPELA DO ALTO,SP,1840
176,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63096,CAPIVARI,SP,8536
177,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63118,CARAGUATATUBA,SP,16653
178,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63134,CARAPICUIBA,SP,96965
179,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63150,CARDOSO,SP,2764
180,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63177,CASA BRANCA,SP,6854
181,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63193,CASSIA DOS COQUEIROS,SP,578
182,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63215,CASTILHO,SP,3812
183,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63231,CATANDUVA,SP,27185
184,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63258,CATIGUA,SP,1779
185,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63274,CEDRAL,SP,1663
186,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63290,CERQUEIRA CESAR,SP,2768
187,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63312,CERQUILHO,SP,7088
188,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63339,CESARIO LANGE,SP,1981
189,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63355,CHARQUEADA,SP,2997
190,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63371,CHAVANTES,SP,2944
191,ALOIZIO MERCADANTE OLIVA,MERCADANTE,13,PARTIDO DOS TRABALHADORES,PT,63398,CLEMENTINA,SP,1056
