,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS_NOMINAIS ELEITO
75,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30007,LUÍS EDUARDO MAGALHÃES,BA,12045
76,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30058,EUNÁPOLIS,BA,15635
77,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30660,IUIU,BA,4926
78,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30678,JABORANDI,BA,2888
79,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30694,JUSSARI,BA,1967
80,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30716,AMÉRICA DOURADA,BA,6631
81,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30732,ARATACA,BA,2546
82,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30759,BARRO ALTO,BA,4874
83,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30775,BARROCAS,BA,5937
84,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30791,BURITIRAMA,BA,6172
85,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30813,CAPELA DO ALTO ALEGRE,BA,3724
86,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30830,CAPIM GROSSO,BA,7804
87,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30856,CANUDOS,BA,5729
88,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30872,DIAS D ÁVILA,BA,19024
89,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30899,FÁTIMA,BA,7574
90,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30910,FILADÉLFIA,BA,5154
91,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30937,GAVIÃO,BA,1781
92,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30953,GUAJERU,BA,3349
93,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30970,HELIÓPOLIS,BA,5306
94,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,30996,JOÃO DOURADO,BA,8186
95,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33014,ABAÍRA,BA,1889
96,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33030,ABARÉ,BA,5891
97,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33057,ACAJUTIBA,BA,4883
98,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33065,ADUSTINA,BA,6025
99,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33073,ÁGUA FRIA,BA,5748
100,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33090,ÉRICO CARDOSO,BA,3296
101,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33111,AIQUARA,BA,1753
102,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33138,ALAGOINHAS,BA,33529
103,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33154,ALCOBAÇA,BA,6246
104,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33170,ALMADINA,BA,1909
105,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33197,AMARGOSA,BA,8235
106,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33219,AMÉLIA RODRIGUES,BA,7890
107,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33235,ANAGÉ,BA,8445
108,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33251,ANDARAÍ,BA,2770
109,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33260,ANDORINHA,BA,6401
110,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33278,ANGICAL,BA,6329
111,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33294,ANGUERA,BA,3857
112,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33316,ANTAS,BA,1778
113,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33332,ANTÔNIO CARDOSO,BA,6487
114,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33359,ANTÔNIO GONÇALVES,BA,3292
115,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33375,APORÁ,BA,5473
116,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33383,ARAÇÁS,BA,4466
117,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33391,ARACATU,BA,6613
118,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33405,APUAREMA,BA,2484
119,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33413,ARACI,BA,18309
120,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33430,ARAMARI,BA,4056
121,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33456,ARATUÍPE,BA,3744
122,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33472,AURELINO LEAL,BA,4153
123,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33499,BAIANÓPOLIS,BA,5139
124,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33510,BAIXA GRANDE,BA,5710
