STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
RS,86169,NOVA ALVORADA,81,480,27,0,1343,3,22,0,50,139,5,1,0,312,2649,2337,83,103
RS,86177,CRISSIUMAL,572,2809,143,3,3836,33,67,1,138,444,21,8,2,1690,10649,8959,318,564
RS,86185,MORRO REDONDO,307,980,68,2,2014,22,34,0,37,467,19,18,2,772,5192,4420,240,210
RS,86193,CRUZ ALTA,2956,9718,650,10,18871,214,186,6,428,1945,150,189,16,10999,48244,37245,1014,892
RS,86207,SANTA MARIA DO HERVAL,334,847,91,0,2252,13,24,1,186,350,20,5,1,347,4988,4641,160,357
RS,86215,CRUZEIRO DO SUL,503,1628,193,5,4189,45,32,0,168,448,33,13,9,965,8901,7936,290,380
RS,86223,BARÃO,296,607,114,2,2482,7,23,2,128,379,10,2,0,435,4746,4311,108,151
RS,86231,DAVID CANABARRO,378,873,96,1,1536,3,19,1,82,192,7,2,0,516,3923,3407,124,93
RS,86240,ELDORADO DO SUL,2465,4446,420,17,8301,166,96,4,373,798,112,178,10,2292,20972,18680,691,603
RS,86258,DOIS IRMÃOS,1317,4187,298,0,11450,92,105,3,1093,630,59,65,1,3126,23702,20576,472,804
RS,86274,DOM FELICIANO,638,2975,99,2,2784,19,41,4,50,1274,6,18,2,1534,10272,8738,539,287
RS,86282,ALTO FELIZ,133,262,120,2,1259,9,16,1,68,176,2,10,0,303,2559,2256,66,132
RS,86290,DOM PEDRITO,1720,7336,510,6,8983,187,94,3,199,1490,84,165,10,7682,30060,22378,833,758
RS,86304,AMETISTA DO SUL,488,1579,64,2,1825,4,16,1,44,197,11,9,1,690,5257,4567,165,161
RS,86312,DONA FRANCISCA,218,706,129,1,1173,13,16,0,58,98,5,6,6,487,3066,2579,93,57
RS,86320,ARAMBARÉ,292,591,76,2,1282,10,5,0,28,196,4,7,2,704,3348,2644,70,79
RS,86339,ENCANTADO,1065,1995,306,4,8778,42,75,1,577,699,58,33,1,3215,17574,14359,337,388
RS,86347,BARÃO DO TRIUNFO,256,870,218,0,1458,16,18,0,55,675,4,11,1,356,4199,3843,169,92
RS,86355,ENCRUZILHADA DO SUL,1480,5372,243,3,5072,78,77,5,148,951,49,47,3,2718,17996,15278,1021,729
RS,86363,BARRA DO GUARITA,67,868,82,0,677,4,11,0,15,50,4,22,0,365,2277,1912,39,73
RS,86371,ERECHIM,4378,11201,987,10,37506,274,812,14,2017,3014,254,338,17,13974,78703,64729,1867,2040
RS,86380,BARRA DO RIO AZUL,158,568,27,0,524,0,12,0,28,119,2,5,0,230,1758,1528,38,47
RS,86398,HERVAL,537,1809,45,1,1007,17,23,0,26,288,20,23,6,1062,5157,4095,178,115
RS,86401,BARRA FUNDA,336,561,18,0,1026,10,25,0,74,69,6,4,0,350,2600,2250,66,55
RS,86410,ERVAL GRANDE,191,1476,54,1,1280,5,38,3,38,149,9,10,0,567,4113,3546,160,132
RS,86428,BOA VISTA DAS MISSÕES,160,646,18,0,578,1,6,0,18,67,3,0,0,321,1885,1564,32,35
RS,86436,ERVAL SECO,407,2055,40,1,1599,6,30,0,45,182,13,12,0,768,5395,4627,137,100
RS,86444,BOM PROGRESSO,125,707,17,1,738,4,10,0,17,88,2,1,1,281,2073,1792,46,35
RS,86452,ESMERALDA,102,641,85,0,996,10,6,0,9,112,1,7,0,541,2637,2096,82,45
RS,86460,CAMPESTRE DA SERRA,59,180,39,1,1607,7,10,0,31,140,5,2,0,363,2577,2214,64,69
RS,86479,ESPUMOSO,1405,2758,112,2,4917,28,114,2,232,410,36,12,0,1663,12186,10523,278,217
RS,86487,CANDIOTA,465,3143,71,3,1637,20,20,0,39,254,22,58,1,1146,7301,6155,222,200
RS,86495,ESTÂNCIA VELHA,2107,3664,551,6,18188,175,170,1,1139,1163,114,150,12,5775,35193,29418,875,1103
RS,86509,CAPITÃO,159,492,51,2,1097,4,9,0,30,138,3,2,1,279,2456,2177,93,96
RS,86517,ESTEIO,7014,10990,862,25,26161,467,396,13,2177,2134,403,378,22,14177,68777,54600,1697,1861
RS,86525,CARLOS GOMES,34,539,16,1,449,0,18,1,16,59,5,2,0,182,1392,1210,46,24
RS,86533,ESTRELA,1680,2523,393,2,13320,81,124,2,743,1045,83,92,5,4471,25766,21295,485,717
RS,86541,CENTENÁRIO,111,940,15,0,984,0,9,1,19,86,17,1,0,247,2527,2280,55,42
RS,86550,FARROUPILHA,3416,4679,1127,6,29446,407,288,7,2024,2143,172,211,7,8567,55567,47000,1305,1762
RS,86568,CHARRUA,66,750,44,0,844,0,5,0,24,97,1,1,2,361,2300,1939,52,53
RS,86576,FAXINAL DO SOTURNO,453,1174,117,1,2334,14,17,0,96,201,8,16,5,858,5570,4712,150,126
RS,86584,COLINAS,107,248,72,0,1152,10,11,1,77,136,7,5,2,277,2239,1962,42,92
RS,86592,FELIZ,843,1168,252,3,5078,28,54,1,442,431,35,17,1,1146,10201,9055,250,452
RS,86606,COQUEIROS DO SUL,171,389,28,0,1094,7,7,0,24,148,1,4,0,313,2268,1955,39,43
RS,86614,FLORES DA CUNHA,1021,1273,416,8,14611,77,115,3,934,660,56,44,2,2605,22849,20244,431,593
RS,86622,CORONEL BARROS,288,447,23,0,1118,4,13,2,17,104,2,4,1,324,2411,2087,39,25
RS,86630,FONTOURA XAVIER,684,2873,99,0,1868,13,29,3,28,354,13,14,2,1697,8163,6466,334,152
RS,86649,COXILHA,161,653,18,0,1059,5,12,1,21,119,8,4,1,297,2463,2166,54,50
RS,86657,FORMIGUEIRO,369,1423,124,0,1982,28,20,0,69,278,13,18,1,871,5563,4692,199,168
RS,86665,DERRUBADAS,106,871,68,1,916,10,28,2,19,132,9,4,1,448,2696,2248,30,51
RS,86673,FREDERICO WESTPHALEN,1482,5069,373,7,10463,42,180,5,439,747,65,51,0,4913,25073,20160,535,702
RS,86681,DOIS IRMÃOS DAS MISSÕES,139,709,13,0,585,3,0,0,6,58,2,3,0,271,1875,1604,37,49
RS,86690,GARIBALDI,1387,2446,345,6,14001,84,160,1,1024,762,59,48,5,2207,23661,21454,539,587
RS,86703,ENGENHO VELHO,32,441,11,0,346,0,14,0,19,35,4,1,2,236,1196,960,35,20
