STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
MG,42064,FREI LAGONEGRO,1580,708,908,3277,2369,14,67
MG,42072,CAMACHO,1135,1235,723,3180,2457,31,56
MG,42080,FRUTA DE LEITE,2246,674,2007,5089,3082,23,139
MG,42099,CAMANDUCAIA,4988,7546,3269,16426,13157,230,393
MG,42102,GAMELEIRAS,2295,718,1061,4193,3132,16,103
MG,42110,CAMBUÍ,5806,9946,3969,20656,16687,251,684
MG,42129,GLAUCILÂNDIA,1963,615,640,3272,2632,18,36
MG,42137,CAMBUQUIRA,2456,5158,2097,10056,7959,85,260
MG,42145,GOIABEIRA,1142,949,708,2864,2156,19,46
MG,42153,CAMPANÁRIO,1445,739,996,3270,2274,32,58
MG,42161,GOIANÁ,1569,1091,876,3685,2809,35,114
MG,42170,CAMPANHA,2528,6561,2407,11854,9447,109,249
MG,42188,GUARACIAMA,3182,719,1097,5109,4012,27,84
MG,42196,CAMPESTRE,4433,8237,2901,16167,13266,238,358
MG,42200,IBIRACATU,2640,988,1897,5699,3802,36,138
MG,42218,CAMPINA VERDE,5601,5760,3295,15058,11763,115,287
MG,42226,IMBÉ DE MINAS,2572,1426,1614,5738,4124,24,102
MG,42234,CAMPO BELO,16294,13373,8137,39400,31263,542,1054
MG,42242,INDAIABIRA,2412,1395,1955,5972,4017,29,181
MG,42250,CAMPO DO MEIO,4771,2361,2381,9812,7431,122,177
MG,42269,JAPONVAR,4176,767,2494,7657,5163,54,166
MG,42277,CAMPO FLORIDO,2349,1842,1072,5390,4318,38,89
MG,42285,JENIPAPO DE MINAS,1893,1269,2349,5658,3309,32,115
MG,42293,CAMPOS ALTOS,3260,3894,2842,10253,7411,108,149
MG,42307,JOSÉ GONÇALVES DE MINAS,1285,1086,1245,3719,2474,26,77
MG,42315,CAMPOS GERAIS,6890,8240,4669,20420,15751,216,405
MG,42323,JOSÉ RAYDAN,1726,858,1309,4016,2707,26,97
MG,42331,CANAÃ,2288,860,645,3935,3290,44,98
MG,42340,SÃO SEBASTIÃO DA VARGEM ALEGRE,1435,680,553,2785,2232,38,79
MG,42358,CANÁPOLIS,4464,2379,2329,9396,7067,42,182
MG,42366,SÃO SEBASTIÃO DO ANTA,2237,1344,1403,5106,3703,40,82
MG,42374,CANA VERDE,2616,1078,750,4599,3849,54,101
MG,42382,SERRANÓPOLIS DE MINAS,2139,609,844,3683,2839,17,74
MG,42390,CANDEIAS,4179,4545,2595,11877,9282,202,356
MG,42404,SETUBINHA,3859,1081,3027,8305,5278,42,296
MG,42412,CAPARAÓ,1924,1148,973,4206,3233,51,110
MG,42420,TAPARUBA,1413,1013,806,3301,2495,23,46
MG,42439,CAPELA NOVA,1716,1397,712,4054,3342,102,127
MG,42447,UNIÃO DE MINAS,1682,752,991,3487,2496,25,37
MG,42455,CAPELINHA,9798,7986,6784,25440,18656,249,623
MG,42463,URUANA DE MINAS,1345,814,915,3164,2249,22,68
MG,42471,CAPETINGA,2043,2191,1515,5909,4394,51,109
MG,42480,VARGEM GRANDE DO RIO PARDO,1590,1103,971,3792,2821,19,109
MG,42498,CAPIM BRANCO,2262,3490,1263,7303,6040,97,191
MG,42501,VARJÃO DE MINAS,2133,1898,1011,5192,4181,46,104
MG,42510,CAPINÓPOLIS,5572,3191,2212,11223,9011,80,168
MG,42528,VERDELÂNDIA,3550,787,1819,6305,4486,39,110
MG,42536,CAPITÃO ENÉAS,5732,2605,2968,11646,8678,73,268
MG,42544,VEREDINHA,2293,1029,1244,4702,3458,37,99
MG,42552,CAPITÓLIO,2792,2624,1524,7156,5632,80,136
MG,42560,VERMELHO NOVO,2054,1439,905,4548,3643,48,102
MG,42579,CAPUTIRA,3878,1703,1710,7593,5883,116,186
MG,42587,TOCOS DO MOJI,1793,1432,412,3727,3315,28,62
MG,42595,CARAÍ,6762,2143,5448,14868,9420,76,439
MG,42617,CARANAÍBA,1288,1056,502,2989,2487,65,78
MG,42633,CARANDAÍ,9401,5798,2758,19027,16269,422,648
MG,42650,CARANGOLA,12003,5642,6492,25057,18565,227,693
MG,42676,CARATINGA,23374,19657,15185,60521,45336,627,1678
MG,42692,CARBONITA,2933,2301,2301,7705,5404,64,106
MG,42714,CAREAÇU,1665,2223,906,4898,3992,30,74
MG,42730,CARLOS CHAGAS,5995,4606,5643,16704,11061,130,330
MG,42757,CARMÉSIA,817,657,597,2130,1533,15,44
MG,42773,CARMO DA CACHOEIRA,3855,3297,2111,9620,7509,115,242
MG,42790,CARMO DA MATA,3308,3979,1622,9259,7637,115,235
MG,42811,CARMO DE MINAS,3369,4181,1759,9612,7853,111,192
MG,42838,CARMO DO CAJURU,6421,6828,2708,16700,13992,263,480
MG,42854,CARMO DO PARANAÍBA,6716,8895,5257,21755,16498,326,561
MG,42870,CARMO DO RIO CLARO,5806,5924,3367,15514,12147,129,288
MG,42897,CARMÓPOLIS DE MINAS,4715,5289,2053,12555,10502,151,347
MG,42919,CARRANCAS,1097,1408,593,3200,2607,34,68
MG,42935,CARVALHÓPOLIS,1122,1379,575,3141,2566,17,48
MG,42951,CARVALHOS,1311,1510,891,3901,3010,49,140
MG,42978,CASA GRANDE,927,835,425,2307,1882,48,72
MG,42994,CASCALHO RICO,1282,816,646,2819,2173,23,52
MG,43010,CÁSSIA,5674,4822,3101,14063,10962,106,360
MG,43036,CONCEIÇÃO DA BARRA DE MINAS,1408,1418,494,3433,2939,38,75
MG,43052,CATAGUASES,30452,9897,10921,53253,42332,501,1482
MG,43079,CATAS ALTAS DA NORUEGA,1650,767,924,3445,2521,33,71
MG,43095,CAXAMBU,6955,5772,4554,17878,13324,166,431
MG,43117,CEDRO DO ABAETÉ,248,671,471,1416,945,12,14
MG,43133,CENTRAL DE MINAS,2882,1449,1461,5953,4492,40,121
MG,43150,CENTRALINA,3749,1560,1298,6794,5496,57,130
MG,43176,CHÁCARA,1370,740,470,2674,2204,28,66
MG,43192,CHALÉ,2492,1072,825,4542,3717,60,93
MG,43214,CHAPADA DO NORTE,4036,1473,4104,9928,5824,63,252
MG,43230,CHIADOR,1043,1196,720,3070,2350,27,84
MG,43257,CIPOTÂNEA,1724,1563,1992,5450,3458,80,91
MG,43273,CLARAVAL,979,2682,782,4529,3747,23,63
MG,43290,CLARO DOS POÇÕES,3419,2002,1951,7581,5630,63,146
MG,43311,CLÁUDIO,3019,12987,2874,19546,16672,222,444
MG,43338,COIMBRA,2696,1962,635,5660,5025,118,249
MG,43354,COLUNA,2902,1481,2244,6858,4614,69,162
MG,43370,COMENDADOR GOMES,1027,880,571,2533,1962,15,40
MG,43397,COMERCINHO,3321,1034,2343,6900,4557,46,156
MG,43419,CONCEIÇÃO DA APARECIDA,3563,2391,1718,7844,6126,66,106
MG,43435,CONCEIÇÃO DAS PEDRAS,1009,1015,465,2587,2122,37,61
MG,43451,CONCEIÇÃO DAS ALAGOAS,8859,5023,3875,18185,14310,147,281
MG,43478,CONCEIÇÃO DE IPANEMA,1956,956,656,3673,3017,32,73
MG,43494,CONCEIÇÃO DO MATO DENTRO,6000,3665,4512,14793,10281,182,434
MG,43516,CONCEIÇÃO DO PARÁ,1298,2300,888,4694,3806,71,137
MG,43532,CONCEIÇÃO DO RIO VERDE,3242,4139,2260,9946,7686,134,171
MG,43559,CONCEIÇÃO DOS OUROS,2514,4300,1341,8405,7064,74,176
MG,43575,CONGONHAL,2551,3904,1002,7677,6675,69,151
MG,43591,CONGONHAS,16683,14228,5404,38526,33122,656,1555
MG,43613,CONGONHAS DO NORTE,1799,765,1279,4029,2750,39,147
MG,43630,CONQUISTA,1909,2137,748,5002,4254,43,165
MG,43656,CONSELHEIRO LAFAIETE,44717,27011,13273,89902,76629,1324,3577
MG,43672,CONSELHEIRO PENA,6419,5027,4671,16640,11969,169,354
MG,43699,CONSOLAÇÃO,431,871,335,1687,1352,14,36
MG,43710,CONTAGEM,163283,176754,81414,443726,362312,6136,16139
MG,43737,COQUEIRAL,2840,2834,1728,7654,5926,97,155
MG,43753,CORAÇÃO DE JESUS,12033,2485,5938,20961,15023,141,364
MG,43770,CORDISBURGO,2637,2367,1785,7001,5216,72,140
MG,43796,CORDISLÂNDIA,1105,1171,776,3116,2340,17,47
MG,43818,CORINTO,8447,5030,5949,19967,14018,194,347
MG,43834,COROACI,3747,2379,3001,9415,6414,76,212
MG,43850,COROMANDEL,9374,7490,5011,22671,17660,269,527
MG,43877,CORONEL FABRICIANO,31363,27352,17953,79716,61763,927,2121
MG,43893,CORONEL MURTA,3565,1300,1857,6900,5043,54,124
MG,43915,CORONEL PACHECO,1331,765,367,2569,2202,31,75
MG,43931,CORONEL XAVIER CHAVES,999,1182,462,2740,2278,26,71
MG,43958,CÓRREGO DANTA,1112,1024,909,3106,2197,20,41
MG,43974,CÓRREGO DO BOM JESUS,1060,1792,625,3592,2967,36,79
MG,43990,CÓRREGO NOVO,1712,611,1400,3816,2416,21,72
MG,44016,COUTO DE MAGALHÃES DE MINAS,1598,828,1211,3779,2568,38,104
MG,44032,CRISTAIS,3402,2696,1633,8121,6488,136,254
MG,44059,CRISTÁLIA,2656,671,1475,4891,3416,31,58
MG,44075,CRISTIANO OTONI,2041,1343,596,4212,3616,82,150
MG,44091,CRISTINA,1771,4289,1702,8054,6352,78,214
MG,44113,CRUCILÂNDIA,1338,2162,975,4662,3687,73,114
MG,44130,CRUZEIRO DA FORTALEZA,1262,1481,941,3781,2840,35,62
MG,44156,CRUZÍLIA,5238,3937,2370,11914,9544,122,247
MG,44172,CURVELO,24162,17938,10656,54493,43837,629,1108
MG,44199,DATAS,2016,1067,1464,4732,3268,51,134
MG,44210,DELFIM MOREIRA,1970,3163,1265,6588,5323,54,136
MG,44237,DELFINÓPOLIS,1845,2455,1518,5992,4474,60,114
MG,44253,DESCOBERTO,1789,1627,769,4363,3594,45,133
MG,44270,DESTERRO DE ENTRE RIOS,1374,3065,982,5683,4701,120,142
MG,44296,DESTERRO DO MELO,1278,1095,533,3021,2488,38,77
