STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PE,24597,JATAÚBA,67,4814,2,32,0,13,2864,52,2348,11341,8993,206,943
PE,24619,JOÃO ALFREDO,192,10127,18,3,3,48,3413,215,5724,22992,17268,763,2489
PE,24635,JOAQUIM NABUCO,69,6025,3,1,2,27,1260,142,1548,10247,8699,310,862
PE,24651,JUPI,67,5423,7,3,1,13,658,98,1071,8660,7589,386,934
PE,24678,JUREMA,72,4979,12,5,1,9,1238,56,1809,9505,7696,176,1149
PE,24694,LAGOA DE ITAENGA,104,6564,3,2,0,17,4378,122,1531,14607,13076,542,1344
PE,24716,LAGOA DO OURO,97,4916,1,2,2,10,1072,33,1162,8502,7340,191,1018
PE,24732,LAGOA DOS GATOS,107,5574,5,3,2,26,1217,126,2867,11426,8559,260,1241
PE,24759,LAJEDO,318,12046,19,5,5,37,5141,356,6320,27532,21212,908,2382
PE,24775,LIMOEIRO,522,19679,32,8,5,29,8463,792,9347,43993,34646,1984,3137
PE,24791,MACAPARANA,235,8783,9,3,2,12,2388,162,2381,16188,13807,516,1699
PE,24813,MACHADOS,87,4410,5,2,0,8,1197,85,1123,7905,6782,275,713
PE,24830,MARAIAL,104,4055,3,1,0,17,1415,165,2996,9875,6879,233,886
PE,24856,MIRANDIBA,101,5259,8,0,1,8,1464,93,2731,10907,8176,283,960
PE,24872,MORENO,512,18656,29,19,5,19,6641,1100,5970,37083,31113,1713,2424
PE,24899,NAZARÉ DA MATA,275,10278,5,5,4,16,5374,510,4685,24227,19542,1509,1570
PE,24910,OLINDA,6525,157610,553,125,29,152,46818,13771,38227,283834,245607,8122,11931
PE,24937,OROBÓ,164,7560,3,1,1,24,2742,109,4960,17385,12425,591,1231
PE,24953,OROCÓ,92,4174,2,3,1,21,2083,98,1875,9440,7565,202,890
PE,24970,OURICURI,368,18617,16,2,3,54,5372,392,9319,38700,29381,689,3871
PE,24996,PALMARES,375,21115,10,15,3,45,4802,1173,10781,42017,31236,1127,2574
PE,25011,PALMEIRINA,70,3771,6,0,0,7,311,48,1675,6706,5031,124,694
